"Job","Applied to","Number","Transaction Date","Amt. Due","Sales Order:Quantity"
"4484","Costco Vaughan Wet","6796","12/21/2024","USD 24,093.00","900"
"4444","Costco Vaughan Wet","6795","12/21/2024","USD 24,093.00","900"
"4443","Courchesne Larose","6787","12/21/2024","USD 24,643.20","960"
"3998","Costco Vaughan Wet","6778","12/20/2024","USD 24,093.00","900"
"3989","Costco Varennes","6794","12/20/2024","USD 24,093.00","900"
"4485","Costco Vaughan Wet","6777","12/19/2024","USD 24,093.00","900"
"4473","Sobeys BCH","6793","12/19/2024","USD 16,000.32","672"
"4473","Sobeys Quebec City","6792","12/19/2024","USD 6,857.28","288"
"4456","Charlies Seattle","6782","12/19/2024","USD 20,174.40","720"
"3996","Costco Vaughan Wet","6776","12/18/2024","USD 24,093.00","900"
"4442","Costco Varennes","6775","12/18/2024","USD 24,093.00","900"
"4455","Costco Vaughan Wet","6774","12/17/2024","USD 24,093.00","900"
"4454","Sobeys Quebec City","6791","12/17/2024","USD 6,857.28","288"
"4454","Sobeys BCH","6790","12/17/2024","USD 16,000.32","672"
"3993","Costco Varennes","6773","12/16/2024","USD 24,093.00","900"
"3941","Costco Vaughan Wet","6772","12/16/2024","USD 24,093.00","900"
"3999","Sobeys Quebec City","6789","12/16/2024","USD 6,857.28","288"
"3999","Sobeys BCH","6788","12/16/2024","USD 16,000.32","672"
"3980","Costco Vaughan Wet","6771","12/14/2024","USD 24,093.00","900"
"3987","Costco Vaughan Wet","6770","12/14/2024","USD 24,093.00","900"
"3954","Costco Varennes","6769","12/13/2024","USD 24,093.00","900"
"3983","Costco Vaughan Wet","6768","12/13/2024","USD 24,093.00","900"
"3986","Courchesne Larose","6737","12/13/2024","USD 24,643.20","960"
"3964","Costco Vaughan Wet","6767","12/12/2024","USD 24,093.00","900"
"3985","Charlies Seattle","6724","12/12/2024","USD 20,174.40","720"
"3974","Sobeys BCH","6746","12/11/2024","USD 22,857.60","960"
"3975","Sobeys BCH","6748","12/09/2024","USD 16,000.32","672"
"3975","Sobeys Quebec City","6747","12/09/2024","USD 6,857.28","288"
"3945","Sobeys Quebec City","6750","12/05/2024","USD 6,857.28","288"
"3945","Sobeys BCH","6749","12/05/2024","USD 16,000.32","672"
"3955","Sobeys Quebec City","6752","12/04/2024","USD 6,857.28","288"
"3955","Sobeys BCH","6751","12/04/2024","USD 16,000.32","672"
"3976","Charlies Seattle","6725","12/04/2024","USD 20,174.40","720"
"3970","Sobeys Quebec City","6754","12/02/2024","USD 6,857.28","288"
"3970","Sobeys BCH","6753","12/02/2024","USD 16,000.32","672"
,"Fairtrade Labelling Organizations Inter. e.V.","11-2024","11/30/2024","CAD 7,203.87",
,"Revenu Québec","TQ001 2024-11","11/30/2024","CAD 3,155.84",
,"Agence du revenu du Canada","TPS RQ 2024-11.30","11/30/2024","CAD 2,191.66",
"3925","Charlies Seattle","6711","11/27/2024","USD 20,174.40","720"
"3932","Charlies Seattle","6672","11/21/2024","USD 20,174.40","720"
"3886","Charlies Seattle","6624","11/14/2024","USD 20,174.40","720"
"3872","Charlies Seattle","6625","11/08/2024","USD 20,174.40","720"
"3785","Chiovitti Banana Co., Ltd","6622","11/07/2024","USD 0.00","960"
"3855","Charlies Seattle","6603","10/31/2024","USD 20,174.40","720"
"3805","Charlies Seattle","6573","10/24/2024","USD 20,174.40","720"
"3828","Chiovitti Banana Co., Ltd","6532","10/09/2024","USD 19,005.14","960"
"3732","Chiovitti Banana Co., Ltd","6531","10/06/2024","USD 19,384.40","960"
"4247","Sobeys BCH","5850","04/26/2024","USD 16,013.76","672"
"4247","Sobeys Quebec City","5849","04/26/2024","USD 6,863.04","288"
