"Number","Entity","Transaction Date","Employee","Account Name","Is Deposited","Bank Account","Reconciliation Date","Amount","AR Amount (CAD)","Exported","Memo","Amount (CAD)","Tax Amount (CAD)","Tax Amount","Withholding Tax Amount (CAD)","Withholding Tax Amount","Division","Currency","Exchange Rate","Reverse Exchange Rate","Is Printed","Online Payment","Credit (CAD)","Template Name","Realized Amount (CAD)","Gain/Loss (CAD)","Attachments","Settled Date","Confirmation Number","Status"
"2000361309","Sobeys BCH","01/07/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,000.96","67,633.35","No",,"68,881.38","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"68,881.38","-1,248.03","No",,,
"00022117222025","Costco Varennes","01/06/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,186.00","67,894.08","No",,"69,146.91","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"69,146.91","-1,252.83","No",,,
"00022117222025","Costco Vaughan Wet","01/06/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 120,465.00","169,759.29","No",,"172,867.28","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"172,867.28","-3,107.99","No",,,
"00568270","Courchesne Larose","01/06/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 49,286.40","69,272.04","No",,"70,725.98","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"70,725.98","-1,453.94","No",,,
"30671","Top Banana","01/03/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,788.00","32,495.69","No",,"32,962.84","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"32,962.84","-467.15","Yes",,,
"KPI01595","Krown Produce  Fresh At Its Best™","01/03/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 90,054.00","127,503.96","No",,"130,263.11","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"130,263.11","-2,759.15","Yes",,,
"00022023502025","Costco Varennes","01/03/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,971.13","No",,"34,850.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,850.52","-879.39","No",,,
"00022023502025","Costco Vaughan Wet","01/03/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,971.13","No",,"34,850.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,850.52","-879.39","No",,,
"00021957442025","Costco Vaughan Wet","01/02/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,186.00","67,797.70","No",,"69,701.05","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"69,701.05","-1,903.35","No",,,
"00021957442025","Costco Varennes","01/02/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,874.76","No",,"34,850.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,850.52","-975.76","No",,,
"22366","Chiovitti Banana Co., Ltd","01/02/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 112,387.20","159,768.24","No",,"162,568.08","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"162,568.08","-2,799.84","Yes",,,
"30601","Top Banana","12/30/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,788.00","32,347.57","No",,"32,962.84","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"32,962.84","-615.27","No",,,
"00021796272025","Costco Vaughan Wet","12/30/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 96,372.00","135,788.16","No",,"139,402.10","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"139,402.10","-3,613.94","No",,,
"00021796272025","Costco Varennes","12/30/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,947.04","No",,"34,850.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,850.52","-903.48","No",,,
"00021680572025","Costco Vaughan Wet","12/27/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,947.04","No",,"34,850.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,850.52","-903.48","No",,,
"00021680572025","Costco Varennes","12/27/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,947.04","No",,"34,850.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,850.52","-903.48","No",,,
"00021645772025","Costco Vaughan Wet","12/27/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,186.00","67,882.03","No",,"69,701.05","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"69,701.05","-1,819.02","No",,,
"00021645772025","Costco Varennes","12/27/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,766.34","No",,"34,850.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,850.52","-1,084.18","No",,,
"00568105","Courchesne Larose","12/27/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 1,100.44","1,498.80","No",,"1,591.79","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"1,591.79","-92.99","No",,,
"2000349688","Sobeys BCH","12/27/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 16,000.32","22,616.45","No",,"23,144.46","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"23,144.46","-528.01","Yes",,,
"2000349688","Sobeys Quebec City","12/27/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 6,857.28","9,692.77","No",,"9,919.06","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"9,919.06","-226.29","Yes",,,
"22304","Chiovitti Banana Co., Ltd","12/24/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 134,740.80","189,849.80","No",,"194,902.57","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"194,902.57","-5,052.77","No",,,
"2000343522","Sobeys BCH","12/24/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 70,858.56","99,399.70","No",,"102,496.91","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"102,496.91","-3,097.21","No",,,
"2000343522","Sobeys Quebec City","12/24/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 20,571.84","28,934.30","No",,"29,757.17","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"29,757.17","-822.87","No",,,
"30547","Top Banana","12/23/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,788.00","32,131.08","No",,"32,871.69","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"32,871.69","-740.61","No",,,
"00021487452025","Costco Varennes","12/23/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,991.20","68,669.95","No",,"70,669.81","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"70,669.81","-1,999.86","No",,,
"00021487452025","Costco Vaughan Wet","12/23/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 96,372.00","135,113.56","No",,"139,016.61","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"139,016.61","-3,903.05","No",,,
"00021380032025","Costco Varennes","12/20/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","34,055.46","No",,"34,754.15","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"34,754.15","-698.69","No",,,
"00021380032025","Costco Vaughan Wet","12/20/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","34,055.46","No",,"34,754.15","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"34,754.15","-698.69","No",,,
"00021308182025","Costco Vaughan Wet","12/19/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,862.71","No",,"34,718.01","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"34,718.01","-855.30","No",,,
"00021235122025","Costco Varennes","12/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,065.87","34,017.11","No",,"34,534.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"34,534.52","-517.41","No",,,
"00021235122025","Costco Vaughan Wet","12/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,186.00","68,110.92","No",,"69,146.91","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"69,146.91","-1,035.99","No",,,
"00567951","Courchesne Larose","12/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,643.20","34,697.63","No",,"35,362.99","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"35,362.99","-665.36","No",,,
"22240","Chiovitti Banana Co., Ltd","12/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 112,387.20","158,517.26","No",,"161,275.63","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"161,275.63","-2,758.37","No",,,
"0008006168092","Agence du revenu du Canada","12/18/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC",,"CAD 1,610.73","1,610.73","No",,"1,610.73","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"0000093825009","Revenu Québec","12/17/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC",,"CAD 1,130.63","1,130.63","No",,"1,130.63","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"30489","Top Banana","12/17/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,788.00","32,108.29","No",,"32,632.42","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.43","No","No","0.00",,"32,632.42","-524.13","No",,,
"00021084202025","Costco Varennes","12/16/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,922.94","No",,"34,404.80","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.43","No","No","0.00",,"34,404.80","-481.86","No",,,
"00021084202025","Costco Vaughan Wet","12/16/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 96,372.00","135,619.48","No",,"137,619.22","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.43","No","No","0.00",,"137,619.22","-1,999.74","No",,,
"00020978722025","Costco Vaughan Wet","12/13/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,682.01","No",,"34,260.25","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"34,260.25","-578.24","No",,,
"00020978722025","Costco Varennes","12/13/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,065.87","33,644.08","No",,"34,221.67","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"34,221.67","-577.59","No",,,
"0008006873091","Agence du revenu du Canada","12/13/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC",,"CAD 5,304.09","5,304.09","No",,"5,304.09","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"0008006873092","Agence du revenu du Canada","12/13/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC",,"CAD 6,063.57","6,063.57","No",,"6,063.57","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"0000093459970","Revenu Québec","12/12/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC",,"CAD 18,860.01","18,860.01","No",,"18,860.01","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
" 00020903352025","Costco Vaughan Wet","12/12/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,682.01","No",,"34,260.25","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"34,260.25","-578.24","No",,,
"00567864","Courchesne Larose","12/12/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,643.20","34,377.26","No",,"35,042.63","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"35,042.63","-665.37","No",,,
"2000327904","Sobeys Quebec City","12/12/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 6,857.28","9,572.76","No",,"9,751.05","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"9,751.05","-178.29","No",,,
"2000327904","Sobeys BCH","12/12/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 16,000.32","22,336.45","No",,"22,752.46","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"22,752.46","-416.01","No",,,
"KPI01574","Krown Produce  Fresh At Its Best™","12/12/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 89,712.00","126,180.79","No",,"127,570.46","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"127,570.46","-1,389.67","No",,,
" 00020822172025","Costco Varennes","12/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,609.74","No",,"34,260.25","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"34,260.25","-650.51","No",,,
" 00020822172025","Costco Vaughan Wet","12/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","33,609.74","No",,"34,260.25","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"34,260.25","-650.51","No",,,
"22169","Chiovitti Banana Co., Ltd","12/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 112,387.20","157,910.42","No",,"159,814.60","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"159,814.60","-1,904.18","No",,,
"30410","Top Banana","12/10/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,788.00","31,948.78","No",,"32,347.57","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.42","No","No","0.00",,"32,347.57","-398.79","No",,,
"00020664022025","Costco Varennes","12/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,186.00","67,219.48","No",,"68,279.56","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.42","No","No","0.00",,"68,279.56","-1,060.08","No",,,
"00020664022025","Costco Vaughan Wet","12/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 93,962.70","131,077.98","No",,"133,145.15","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.42","No","No","0.00",,"133,145.15","-2,067.17","No",,,
"00020664022025","COSTCO BRANTFORD","12/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 2,409.30","3,360.97","No",,"3,413.98","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.42","No","No","0.00",,"3,413.98","-53.01","No",,,
"2000318189","Sobeys BCH","12/06/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 32,000.64","44,592.90","No",,"45,088.90","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"45,088.90","-496.00","No",,,
"2000318189","Sobeys Quebec City","12/06/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 13,714.56","19,111.24","No",,"19,323.82","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"19,323.82","-212.58","No",,,
"30380","Top Banana","12/06/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,788.00","32,028.53","No",,"32,108.29","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"32,108.29","-79.76","No",,,
"00020558342025","Costco Vaughan Wet","12/06/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,156.00","33,770.84","No",,"34,059.96","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"34,059.96","-289.12","No",,,
"00020558342025","Costco Varennes","12/06/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,156.00","33,770.84","No",,"34,059.96","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"34,059.96","-289.12","No",,,
"00020489562025","Costco Vaughan Wet","12/05/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,156.00","33,674.47","No",,"34,059.96","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"34,059.96","-385.49","No",,,
"22111","Chiovitti Banana Co., Ltd","12/04/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 174,339.55","243,802.68","No",,"245,818.77","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"245,818.77","-2,016.09","No",,,
"00567768","Courchesne Larose","12/04/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 49,286.40","68,631.31","No",,"69,493.82","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"69,493.82","-862.51","No",,,
"00020404712025","Costco Varennes","12/04/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,156.00","33,722.66","No",,"34,059.96","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"34,059.96","-337.30","No",,,
"00020404712025","Costco Vaughan Wet","12/04/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,312.00","67,445.32","No",,"68,119.92","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"68,119.92","-674.60","No",,,
"30333","Top Banana","12/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 20,221.20","28,269.24","No",,"28,471.45","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"28,471.45","-202.21","No",,,
"2000310611","Sobeys BCH","12/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 32,000.64","44,416.88","No",,"45,056.90","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"45,056.90","-640.02","No",,,
"2000310611","Sobeys Quebec City","12/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 13,714.56","19,035.80","No",,"19,310.10","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"19,310.10","-274.30","No",,,
"00020252802025","Costco Vaughan Wet","12/02/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 96,624.00","134,961.90","No",,"135,853.34","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"135,853.34","-891.44","No",,,
"00020252802025","Costco Varennes","12/02/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,156.00","33,746.50","No",,"33,963.34","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"33,963.34","-216.84","No",,,
"589021","Charlies Seattle","12/02/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 20,217.60","27,293.76","No",,"28,425.95","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"28,425.95","-1,132.19","No",,,
"590447","Charlies Seattle","12/02/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 20,217.60","27,930.61","No",,"28,425.95","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"28,425.95","-495.34","No",,,
"589415","Charlies Seattle","12/02/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC",,"USD 40,435.20","55,183.94","No",,"56,851.89","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"56,851.89","-1,667.95","No",,,
"2000303974","Sobeys Quebec City","11/29/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","11/30/2024","USD 6,857.28","9,504.19","No",,"9,661.91","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"9,661.91","-157.72","No",,,
"2000303974","Sobeys BCH","11/29/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","11/30/2024","USD 16,000.32","22,176.44","No",,"22,544.45","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"22,544.45","-368.01","No",,,
"00020128842025","Costco Vaughan Wet","11/29/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC","11/30/2024","USD 48,312.00","67,300.63","No",,"68,071.61","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"68,071.61","-770.98","No",,,
"00020128842025","Costco Varennes","11/29/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC","11/30/2024","USD 24,156.00","33,698.51","No",,"34,035.80","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"34,035.80","-337.29","No",,,
"KPI01561","Krown Produce  Fresh At Its Best™","11/28/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","11/30/2024","USD 112,275.00","156,710.43","No",,"158,195.48","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"158,195.48","-1,485.05","No",,,
"22041","Chiovitti Banana Co., Ltd","11/27/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","11/30/2024","USD 201,859.20","281,207.36","No",,"284,419.61","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.71","1.41","No","No","0.00",,"284,419.61","-3,212.25","No",,,
