"Account Number","Name","Street and Number","City","State","Country","Zip code","Phone","Mobile Phone","Email","Fax","Website","Contact First Name","Contact Last Name","Identification Number","Ident. number type","System ID","Parent Account","Division","Incoterms","Phone Extension","IP Address","Street and Number 1","Street and Number 2","Street and Number 3","Billing Street and Number","Billing City","Billing State","Billing Country","Billing Zip Code","Billing Street and Number 1","Billing Street and Number 2","Billing Street and Number 3","Entity ID","Inactive","Has Transactions","Type","Known Shipper","Known Shipper Expiration Date","Notes","Attachments","Transaction Tracking","Has Open Transactions","Prepaid","Date of Birth","Last Screening Status","Last Screening Date","Preferred Currency","Balance (CAD)","Credit Limit (CAD)","Due Days","Payment Terms","Available Credit (CAD)","Billing Period","Last Payment Amount (CAD)","Last Payment Date","1099 Eligible","Supplier Invoice?"
,"Nathalie Charron",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","172.46","08/30/2024","No","No"
,"Gaylord Opryland Resort and Convention Center",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","516.71","08/21/2024","No","No"
,"Ordre des Agronomes du Québec",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","862.31","07/17/2024","No","No"
"10001-016 - 619349070","CMA CGM",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","23,450.64","08/06/2024","No","No"
,"LTB Magazine (Société Parallèle)",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","44.07","07/04/2024","No","No"
,"Karene-Isabelle Jean-Baptiste",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","675.00","11/26/2024","No","No"
,"Pelletier & Cie avocats inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","793.74","09/27/2024","No","No"
,"Blue Horseshoe","4770 Country Villa Dr","Tucson","AZ","United States","85718",,,,,,,,,"Other","0",,,,,"0.0.0.0","4770 Country Villa Dr",,,"4770 Country Villa Dr","Tucson","AZ","United States","85718","4770 Country Villa Dr",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","4,123.50","08/14/2024","No","No"
"00001 - 003 -1052620","CMA CGM (CANADA) INC",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"Canadian Dollar","0.00","0.00","30","Net 30","0.00","Never Apply","9,533.06","07/12/2024","No","No"
,"helloDARWIN",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"-15,000.00","0.00","0",,"0.00","Never Apply","17,246.25","06/17/2024","No","No"
,"Pro-Cert Organic Systems Ltd.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,096.00","06/10/2024","No","No"
,"Cathy's Action Packed Inc./Let's Party","1370-K Burton Ave., Salinas",,"CA","United States","93901",,,,,"www.letspartysalinas.com",,,,"Other","0",,,,,"0.0.0.0","1370-K Burton Ave., Salinas",,,"1370-K Burton Ave., Salinas",,"CA","United States","93901","1370-K Burton Ave., Salinas",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,446.48","07/11/2024","No","No"
,"l'École de la Magdeleine",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","51.79","05/28/2024","No","No"
,"Carrefour de Solidarité Internationale",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","126.36","11/22/2024","No","No"
"CHASUS33-722619616","COSCO SHIPPING Lines (North America) Inc.","15600 John F. Kennedy Blvd.  Suite 400","Houston","TX","United States","77032","(1) 281- 7656800",,,,,,,,"Other","0",,,,,"0.0.0.0","15600 John F. Kennedy Blvd.","Suite 400",,"15600 John F. Kennedy Blvd.  Suite 400","Houston","TX","United States","77032","15600 John F. Kennedy Blvd.","Suite 400",,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","11,065.72","01/02/2025","No","No"
,"John Simoulidis",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","39.00","05/15/2024","No","No"
,"Circular Materials","1 St. Clair Ave. West, 7th Floor","Toronto","ON","Canada",,,,,,,,,,"Other","0",,,,,"0.0.0.0","1 St. Clair Ave. West, 7th Floor",,,"1 St. Clair Ave. West, 7th Floor","Toronto","ON","Canada",,"1 St. Clair Ave. West, 7th Floor",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"4,918.81","0.00","0",,"0.00","Never Apply","1,639.61","01/09/2025","No","No"
,"Vasty Santamaria",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","835.51","08/14/2024","No","No"
,"Fondation Philou",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","03/15/2024","No","No"
"PACIECEG-8028958","ASOCIACION DE DESARROLLO SOCIAL CARMITA",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"5,160.60","0.00","0",,"0.00","Never Apply","8,820.45","12/06/2024","No","No"
"21451 001 1042130","Forgestik",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"Canadian Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","6,943.34","01/09/2025","No","No"
,"TQL Total Quality Logistics",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","1,372.75","01/13/2025","No","No"
,"Concordia University",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","108.48","04/17/2024","No","No"
" 026003379- 116020445","B Lab",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","8,500.00","04/30/2024","No","No"
"026013576-1500717900","Top Banana","415 Row D Hunts PT Market","Bronx","NY","United States","10474",,,,,,,,,"Other","0",,,,,"0.0.0.0","415 Row D Hunts PT Market",,,"415 Row D Hunts PT Market","Bronx","NY","United States","10474","415 Row D Hunts PT Market",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","8,196.00","04/09/2024","No","No"
,"Institut des administrateurs de sociétés",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","11/30/2024","No","No"
"000274666/Swift Code MRMDUS33","One Ocean Network Express",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.02","0.00","0",,"0.00","Never Apply","5,280.00","01/08/2025","No","No"
"053104568-741006472","MegaCorp Logistics",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","9,248.00","01/10/2025","No","No"
,"Oxfam Québec",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","191.01","05/15/2024","No","No"
,"Lufa Farms Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","250.00","02/19/2024","No","No"
,"Coralus Promerly Sheeo",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","02/15/2024","No","No"
,"Solutions iTCloud.ca",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"32.80","0.00","0",,"0.00","Never Apply","381.84","12/16/2024","No","No"
"21300077-328612942990","CohnReznick LLP",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","3,372.50","04/10/2024","No","No"
,"Shelby Dwyer",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","79.80","12/13/2024","No","No"
,"Southeast Produce Council Inc",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,706.06","01/13/2025","No","No"
"PICHECEQXXX-5542123700","Tito Ruben Hidalgo Novillo",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.01","0.00","0",,"0.00","Never Apply","6,176.55","01/02/2025","No","No"
,"UNE MAMAN VÉGANE",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","919.80","11/28/2023","No","No"
,"Theveganginger",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","169.50","12/08/2023","No","No"
,"Fernanda Gonzalez",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","28.69","12/13/2024","No","No"
,"GES",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","289.39","10/19/2023","No","No"
"066010597-115084692","Hacienda Celia María C.A.","Luque 127 y Pedro Carbo","Guayaquil",,"Ecuador",,,,,,,,,,"Other","0",,,,,"0.0.0.0","Luque 127 y Pedro Carbo",,,"Luque 127 y Pedro Carbo","Guayaquil",,"Ecuador",,"Luque 127 y Pedro Carbo",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","18,525.33","01/07/2025","No","Yes"
,"ONTARIO TECH UNIVERSITY",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","56.76","11/10/2023","No","No"
,"Dana Hospitality",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","127.20","10/16/2024","No","No"
" 021201383-005097019524","The Produce News",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","4,086.00","11/08/2024","No","No"
,"Humber College",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","79.20","10/24/2023","No","No"
,"Krown Produce Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,000.00","03/21/2024","No","No"
,"University of Guelph",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","116.95","10/24/2023","No","No"
,"Tribal Ink",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","3,608.62","10/20/2023","No","No"
,"Mallette S.E.N.C.R.L.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,030.08","09/19/2023","No","No"
"022000046-9888330843","Affinity Produce Partners, LLC","dba Affinity Group Retail  2928 Walden Avenue","Depew","NY","United States","14043",,,"ANE.AR@AffinitySales.com",,,,,,"Other","0",,,,,"0.0.0.0","dba Affinity Group Retail","2928 Walden Avenue",,"dba Affinity Group Retail  2928 Walden Avenue","Depew","NY","United States","14043","dba Affinity Group Retail","2928 Walden Avenue",,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","722.00","01/10/2025","No","No"
,"Claudia Ramirez",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","58.09","08/14/2024","No","No"
,"Canadian Tire",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","No","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00",,"No","No"
,"Scanova",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,197.45","07/12/2023","No","No"
,"Eco Entreprises Québec",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","4,449.53","01/09/2025","No","No"
,"Savoie express Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,061.00","06/21/2024","No","No"
,"Short and sweat wellness inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","655.36","07/11/2023","No","No"
,"Costco Wholesale Canada Ltd.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","5,017.11","06/28/2023","No","No"
,"Pacific Marine Consultants, Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,181.73","06/16/2023","No","No"
,"Sales Is Not Simple Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","368.55","11/07/2023","No","No"
,"Tive, Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","5,523.35","10/25/2024","No","No"
,"La corporation du College de l'Assomption",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","84.75","06/04/2024","No","No"
,"Christou Global Marketing Services LLC",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,223.05","06/27/2023","No","No"
,"BrandSpirit",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","4,476.07","06/08/2023","No","No"
,"Organic Produce Network, LLC","5 Harris Ct., Bldg O","Monterey","CA","United States","93940-7818",,,"accounting@organicproducenetwork.com",,,,,,"Other","0",,,,,"0.0.0.0","5 Harris Ct., Bldg O",,,"5 Harris Ct., Bldg O","Monterey","CA","United States","93940-7818","5 Harris Ct., Bldg O",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","0",,"0.00","Never Apply","1,604.21","08/02/2023","No","No"
,"Amplify Logistics","7447 Bren Road","Mississauga","ON","Canada","L4T 1H3","905 459 0718",,"accounting@amplifylogistics.com",,,,,,"Other","0",,,,,"0.0.0.0","7447 Bren Road",,,"7447 Bren Road","Mississauga","ON","Canada","L4T 1H3","7447 Bren Road",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,"United States Dollar","0.00","0.00","30","Net 30","0.00","Never Apply","4,609.60","10/04/2023","No","No"
,"RBC Express",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"-0.01","0.00","0",,"0.00","Never Apply","1,474.05","01/07/2025","No","No"
,"Patrick Kovari",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","128.52","12/18/2023","No","No"
,"Flair",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","No","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00",,"No","No"
,"Sherrie L. Terry Consulting, LLC","11740 Park Court","Loveland","OH","United States","45140","(513) 583-9360",,,,,,,,"Other","0",,,,,"0.0.0.0","11740 Park Court",,,"11740 Park Court","Loveland","OH","United States","45140","11740 Park Court",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,537.00","05/10/2023","No","No"
