"Account Number","Name","Street and Number","City","State","Country","Zip code","Phone","Mobile Phone","Email","Fax","Website","Contact First Name","Contact Last Name","Identification Number","Ident. number type","System ID","Parent Account","Phone Extension","IP Address","Street and Number 1","Street and Number 2","Street and Number 3","Billing Street and Number","Billing City","Billing State","Billing Country","Billing Street and Number 1","Billing Street and Number 2","Billing Street and Number 3","Entity ID","Inactive","Has Transactions","Type","Known Shipper Expiration Date","Notes","Attachments","Creation Date","Division","Transaction Tracking","Has Open Transactions","Prepaid","Date of Birth","Last Screening Status","Last Screening Date","Preferred Currency","Balance (CAD)","Credit Limit (CAD)","Due Days","Payment Terms","Billing Client","Tracking User","Billing Period","Salesperson (Freight)","Salesperson","Available Credit (CAD)","Incoterms","Last Payment Amount (CAD)","Last Payment Date","Destination Agent"
"C00018","Latbio S.A.","10 de agosto entre Pichincha y García Moreno","Pasaje, El Oro.",,"Ecuador",,,,,,,,,,"Other","0",,,"0.0.0.0","10 de agosto entre Pichincha y García Moreno",,,"10 de agosto entre Pichincha y García Moreno","Pasaje, El Oro.",,"Ecuador","10 de agosto entre Pichincha y García Moreno",,,,"No","Yes","Customers",,,"No","01/04/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"2,662.00","02/16/2024",
"C00011","Four Seasons","400 Wabash Road","Ephrata","PA","United States","17522",,,,,,,,,"Other","0",,,"0.0.0.0","400 Wabash Road",,,"400 Wabash Road","Ephrata","PA","United States","400 Wabash Road",,,,"No","Yes","Customers",,,"No","11/01/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","20","Net 20","No","No","Use Default",,,"0.00",,"31,692.71","06/07/2024",
"C00006/001","Costco Etobicoke","2260 ISLINGTON AVE","ETOBICOKE","ON","Canada","M9W 3W8",,,,,,,,,"Other","0",,,"0.0.0.0","2260 ISLINGTON AVE",,,"2260 ISLINGTON AVE","ETOBICOKE","ON","Canada","2260 ISLINGTON AVE",,,,"No","Yes","Customers",,,"No","10/30/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"4,515.90","12/01/2023",
"C00026/003","Sobeys Winnipeg","1800 Inkster Blvd","Winnipeg","Manitoba","Canada","R2X 2Z5",,,,,,,,,"Other","0",,,"0.0.0.0","1800 Inkster Blvd",,,"1800 Inkster Blvd","Winnipeg","Manitoba","Canada","1800 Inkster Blvd",,,,"No","Yes","Customers",,,"No","10/02/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"16,644.10","11/15/2023",
"C00008","East Coast",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","09/05/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"3,659.84","09/01/2023",
"C00020","Moisson Montréal inc.","6880, Ch. De la Cote de Liesse","Montréal","QC","Canada","H4T 2A1",,"514-344-4494",,,"www.moissonmontreal.org",,,,"Other","0",,,"0.0.0.0","6880, Ch. De la Cote de Liesse",,,"6880, Ch. De la Cote de Liesse","Montréal","QC","Canada","6880, Ch. De la Cote de Liesse",,,,"No","Yes","Customers",,,"No","06/14/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"26,524.80","07/31/2023",
"C00027","Top Banana","415 NYC Terminal Market","Bronx","NY","United States","10474",,,"dan@topbanana.us",,,,,,"Other","0",,,"0.0.0.0","415 NYC Terminal Market",,,"415 NYC Terminal Market","Bronx","NY","United States","415 NYC Terminal Market",,,,"No","Yes","Customers",,,"No","06/08/2023",,"Use default configuration","Yes","No",,,,,"98,888.52","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"32,871.69","01/07/2025",
"C00017","Krown Produce  Fresh At Its Best™","4923 47th Street SE,","Calgary","AB","Canada","T2B 3S5",,,"AP@krownproduceinc.com",,,,,,"Other","0",,,"0.0.0.0","4923 47th Street SE,",,,"4923 47th Street SE,","Calgary","AB","Canada","4923 47th Street SE,",,,,"No","Yes","Customers",,,"No","06/05/2023",,"Use default configuration","Yes","No",,,,"United States Dollar","97,026.87","0.00","10","Net 10","No","No","Use Default",,,"0.00",,"32,599.06","01/09/2025",
,"Costco US/East",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","No","Customers",,,"No","05/12/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
,"Costco Calgary",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","No","Customers",,,"No","05/05/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
,"Gambles",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","No","Customers",,,"No","05/01/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00013","Gambles","302 Dwight Ave","Toronto","ON","Canada","M8V 2W7",,,,,,,,,"Other","0",,,"0.0.0.0","302 Dwight Ave",,,"302 Dwight Ave","Toronto","ON","Canada","302 Dwight Ave",,,,"No","Yes","Customers",,,"No","05/01/2023",,"Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"3,311.18","05/19/2023",
"C00006/002","Costco London","693 Wonderland Rd N","London","ON","Canada","N6H 4L1",,,,,,,,,"Other","0",,,"0.0.0.0","693 Wonderland Rd N",,,"693 Wonderland Rd N","London","ON","Canada","693 Wonderland Rd N",,,,"No","Yes","Customers",,,"No","03/30/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"1,567.42","05/11/2023",
"C00026/002","Sobeys Vancouver","18890 22nd Avenue","Surrey","BC","Canada","V3S 3W7",,,,,,,,,"Other","0",,,"0.0.0.0","18890 22nd Avenue",,,"18890 22nd Avenue","Surrey","BC","Canada","18890 22nd Avenue",,,,"No","Yes","Customers",,,"No","02/17/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"30,698.88","11/03/2023",
"C00030","York University",,,,,,,,"sims@yorku.ca",,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","02/15/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"160.00","09/01/2023",
"C00026/001","Sobeys Calgary","3440 - 56 Avenue SE  Calgary  AB T2C 2C3","Calgary","AB","Canada","T2C 2C3",,,,,,,,,"Other","0",,,"0.0.0.0","3440 - 56 Avenue SE","Calgary  AB T2C 2C3",,"3440 - 56 Avenue SE  Calgary  AB T2C 2C3","Calgary","AB","Canada","3440 - 56 Avenue SE","Calgary  AB T2C 2C3",,,"No","Yes","Customers",,,"No","02/10/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"19,206.60","09/25/2023",
,"Split Sobeys BCH + WBY","1500 Bd de Montarville","Boucherville","QC","Canada","J4B 5Y3",,,,,,"Yannick",,,"Other","0",,,"0.0.0.0","1500 Bd de Montarville",,,,"Montreal","QC","Canada",,,,,"No","No","Customers",,,"No","02/07/2023",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00024/002","Sobeys Quebec City","950, avenue Galilee","Duberger","QC","Canada","G1P 4B7",,,,,,,,,"Other","0",,,"0.0.0.0","950, avenue Galilee",,,"950, avenue Galilee","Duberger","QC","Canada","950, avenue Galilee",,,,"No","Yes","Customers",,,"No","01/24/2023",,"Use default configuration","Yes","No",,,,,"117,233.10","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"28,985.73","01/07/2025",
,"Degranpré Chait",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","No","Customers",,,"No","12/29/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00014","Gloucester",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","11/24/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"309.35","11/22/2022",
"C00021","Musket",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","11/07/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"23,421.60","11/04/2022",
"C00005","Connors Transfer Limited",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","11/07/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"8,069.01","11/04/2022",
"C00006/003","Costco Varennes","3200 Chem. de la Baronnie","Varennes","QC","Canada","J3X 0G3",,,,,,,,,"Other","0",,,"0.0.0.0","3200 Chem. de la Baronnie",,,"3200 Chem. de la Baronnie","Varennes","QC","Canada","3200 Chem. de la Baronnie",,,,"No","Yes","Customers",,,"No","10/31/2022",,"Use default configuration","Yes","No",,,,"United States Dollar","416,459.51","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"34,260.25","01/10/2025",
"C00019","Loadex",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","08/18/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"16,684.48","09/16/2022",
"C00025/001","Sobeys Whitby","100 Nordeagle Ave","Whitby","ON","Canada","L1N 0B6",,,,,,"Simon",,,"Other","0",,,"0.0.0.0","100 Nordeagle Ave",,,,,,,,,,,"No","Yes","Customers",,,"No","07/29/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"16,789.24","12/22/2023",
"C00022","Réseaux Plein Air Drummond Inc",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","06/22/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"2,400.00","08/11/2022",
"C00016","ITradeNetwork",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","06/02/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"5,705.91","05/30/2022",
,"SPLIT:  BCH + Cola",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","No","Customers",,,"No","05/19/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
,"MIXED Chiov Gambles",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","No","Customers",,,"No","05/19/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00023","Scotlynn",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","03/07/2022",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"31,242.60","03/31/2022",
"C00004","Chiovitti Banana Co., Ltd","26 Magnificent Road","Toronto","ON","Canada","M8Z 4T3",,,,,,,,,"Other","0",,,"0.0.0.0","26 Magnificent Road",,,"26 Magnificent Road","Toronto","ON","Canada","26 Magnificent Road",,,,"No","Yes","Customers",,"Good day,

Please find enclosed our invoice for Equifruit bananas delivered

Thank you and have a nice day,","No","12/08/2021",,"Use default configuration","Yes","No",,,,"United States Dollar","353,512.85","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"161,435.20","01/08/2025",
,"Acc Migration",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","12/06/2021",,"Use default configuration","No","No",,,,,"397.95","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
,"Pertes USD",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","12/06/2021",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00","08/10/2021",
"C00028","Vegfresh Inc.",,"Toronto","ON","Canada",,"(416) 667-0518",,,,,"Mike Sangiorgio",,,"Other","0",,,"0.0.0.0",,,,,"Toronto","ON","Canada",,,,"M9L 2V4","No","No","Customers",,,"No","12/06/2021",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00024/001","Sobeys BCH","1500 Bd de Montarville","Boucherville","QC","Canada","J4B 5Y3","(514) 324-1010",,,,,"Yannick",,,"Other","0",,,"0.0.0.0","1500 Bd de Montarville",,,,"Montreal","QC","Canada",,,,,"No","Yes","Customers",,,"No","12/06/2021",,"Use default configuration","Yes","No",,,,,"306,047.37","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"67,633.35","01/07/2025",
,"Second Harvest","Unit 18","Toronto","ON","Canada",,,,,,,"Charitable Reg.133865477RR0001",,,"Other","0",,,"0.0.0.0","Unit 18",,,"Unit 18","Toronto","ON","Canada","Unit 18",,,"M3J 3C1","No","No","Customers",,,"No","12/06/2021",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00015","GO FRESH","302 Dwight Avenue","Toronto","ON","Canada","M8W 2W7",,,,,,,,,"Other","0",,,"0.0.0.0","302 Dwight Avenue",,,"247-165 the Queensway","Toronto","ON","Canada","247-165 the Queensway",,,,"No","Yes","Customers",,,"No","12/06/2021",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"12,061.36","03/01/2024",
"C00012","Fresh Direct Produce",,"Vancouver","BC",,,"(604) 639-1362",,,,,"Steven Moi",,,"Other","0",,,"0.0.0.0",,,,,"Vancouver","BC",,,,,"V6A 2K6","No","Yes","Customers",,,"No","12/06/2021",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"26,441.54","12/10/2021",
"C00007","Courchesne Larose","9761 boul. des Sciences","Montréal","QC","Canada","H1J 0A6","(574) 525-6381",,,,,,,,"Other","0",,,"0.0.0.0","9761 boul. des Sciences",,,"9761 boul. des Sciences","Montréal","QC","Canada","9761 boul. des Sciences",,,,"No","Yes","Customers",,,"No","12/06/2021",,"Use default configuration","Yes","No",,,,,"106,872.33","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"34,722.27","01/09/2025",
"C00006/004","Costco Vaughan Wet","100 Line Drive","Vaughan","ON","Canada","L4H 4M2",,,,,,,,,"Other","0",,,"0.0.0.0","100 Line Drive",,,"100 Line Drive","Vaughan","ON","Canada","100 Line Drive",,,,"No","Yes","Customers",,,"No","12/06/2021",,"Use default configuration","Yes","No",,,,"United States Dollar","902,017.75","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"34,260.25","01/10/2025",
"C00001","CANADAWIDE FRUIT WHOLESALERS",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"Yes","No","Customers",,,"No","12/06/2021",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
,"POS Sales Customer",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","No","Customers",,,"No","04/30/2019",,"Use default configuration","No","Yes",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
,"Online Sales Customer",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"Yes","No","Customers",,,"No","04/30/2019",,"Use default configuration","No","Yes",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
