"Name","Phone","Mobile Phone","Email","Fax","Website","Account Number","Contact First Name","Contact Last Name","Identification Number","Ident. number type","System ID","Street and Number","City","State","Country","Zip code","Parent Account","Carrier Type","Method code","Carrier code","Phone Extension","IP Address","Street and Number 1","Street and Number 2","Street and Number 3","Billing Street and Number","Billing City","Billing State","Billing Country","Billing Zip Code","Billing Street and Number 1","Billing Street and Number 2","Billing Street and Number 3","Entity ID","Inactive","Has Transactions","Type","Known Shipper","Known Shipper Expiration Date","Notes","Attachments","Creation Date","Division","Transaction Tracking","Prepaid","Date of Birth","Last Screening Status","Last Screening Date","Preferred Currency","Balance (CAD)","Credit Limit (CAD)","Due Days","Payment Terms","IATA Account Number","Airline Prefix","Airline Code","FMC","SCAC Code","Available Credit (CAD)","Billing Period","Incoterms","1099 Eligible"
"Cheema",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","02/10/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Light Speed",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","02/10/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Traffix",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","11/04/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Seafood",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","11/04/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Zavitz",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","03/23/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"G. Zavitz Ltd",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","03/10/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Musket",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","03/02/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Xan Systems",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","03/01/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"ZIM","+59343710888","+593995805812","gramos@marglobal.com",,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,"152","0.0.0.0",,,,,,,,,,,,,"No","Yes","Carriers","No",,,"No","01/11/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"CMA",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","01/07/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Harlyn",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","01/06/2022",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Darragh",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/30/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"MSC",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/30/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Highlight",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/22/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Zavcor",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/22/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Fulger",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/17/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Connors",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/17/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Loadex",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/16/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Seaboard",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/16/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Savoie",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/15/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Network",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/15/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Scotlynn",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/15/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Holt",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/13/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Sealand",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/13/2021",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
