Type,Number,Applied to,Date,Employee,Account Name,Debit (CAD),Credit (CAD),Balance (CAD),Memo,Reconciliation Date,Debit,Credit,Balance,Cleared,Clearing,Currency,Internal Type,Amount (CAD),Amount
Journal Entry,2/5/2021,,02/05/2021,Karyne Manseau,Frais qualité - origine,,80.56,80.56,AJ. FRAIS COURU AGROFAIR USD/CAD,,CAD 0.00,CAD 80.56,CAD 80.56,No,No,Canadian Dollar,JournalEntryLine,80.56,CAD 80.56
Bill,2/5/2021,AgroFair,02/05/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,2/5/2021,AgroFair,02/05/2021,Karyne Manseau,Frais qualité - origine,,12.78,12.78,,,USD 0.00,USD 10.00,USD 10.00,No,No,United States Dollar,Bill,-12.78,USD -10.00
Bill,2/5/2021,AgroFair,02/05/2021,Karyne Manseau,Frais bancaires,12.78,,-12.78,,,USD 10.00,USD 0.00,USD -10.00,No,No,United States Dollar,BillLine,12.78,USD 10.00
Journal Entry,,,02/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,02/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Journal Entry,3/1/2021,,03/01/2021,Karyne Manseau,Frais courus Prime Sociale,194.72,,-194.72,AJ. FRAIS COURU PRIME USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,-194.72,USD 0.00
Journal Entry,3/1/2021,,03/01/2021,Karyne Manseau,Prime sociale,,194.72,194.72,AJ. FRAIS COURU PRIME USD/CAD,,CAD 0.00,CAD 194.72,CAD 194.72,No,No,Canadian Dollar,JournalEntryLine,194.72,CAD 194.72
Journal Entry,,,03/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,03/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Bill,1531,AgroFair,03/27/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1531,AgroFair,03/27/2021,Karyne Manseau,Frais qualité - origine,,120.77,120.77,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-120.77,USD -96.00
Bill,1531,AgroFair,03/27/2021,Karyne Manseau,Frais courus qualité-origine,120.77,,-120.77,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,120.77,USD 96.00
Journal Entry,3/31/2021,,03/31/2021,Karyne Manseau,Frais courus Fairtrade CA,890.49,,-890.49,AJ. FRAIS COURU FAIRTRADE,,CAD 890.49,CAD 0.00,CAD -890.49,No,No,Canadian Dollar,JournalEntryLine,-890.49,CAD -890.49
Journal Entry,3/31/2021,,03/31/2021,Karyne Manseau,Frais de licence CA,,890.49,890.49,AJ. FRAIS COURU FAIRTRADE,,CAD 0.00,CAD 890.49,CAD 890.49,No,No,Canadian Dollar,JournalEntryLine,890.49,CAD 890.49
Journal Entry,,,04/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,04/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Journal Entry,4/23/2021,,04/23/2021,Karyne Manseau,Frais courus qualité-origine,110.48,,-110.48,AJ. FRAIS COURU AGROFAIR USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,-110.48,USD 0.00
Journal Entry,4/23/2021,,04/23/2021,Karyne Manseau,Frais qualité - origine,,110.48,110.48,AJ. FRAIS COURU AGROFAIR USD/CAD,,CAD 0.00,CAD 110.48,CAD 110.48,No,No,Canadian Dollar,JournalEntryLine,110.48,CAD 110.48
Bill,4/23/2021,AgroFair,04/23/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,4/23/2021,AgroFair,04/23/2021,Karyne Manseau,Frais qualité - origine,,12.49,12.49,,,USD 0.00,USD 10.00,USD 10.00,No,No,United States Dollar,Bill,-12.49,USD -10.00
Bill,4/23/2021,AgroFair,04/23/2021,Karyne Manseau,Frais bancaires,12.49,,-12.49,,,USD 10.00,USD 0.00,USD -10.00,No,No,United States Dollar,BillLine,12.49,USD 10.00
Journal Entry,4/23/2021,,04/23/2021,Karyne Manseau,Frais courus Prime Sociale,200.71,,-200.71,AJ. FRAIS COURU PRIME USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,-200.71,USD 0.00
Journal Entry,4/23/2021,,04/23/2021,Karyne Manseau,Prime sociale,,200.71,200.71,AJ. FRAIS COURU PRIME USD/CAD,,CAD 0.00,CAD 200.71,CAD 200.71,No,No,Canadian Dollar,JournalEntryLine,200.71,CAD 200.71
Credit Memo,CR3358,GO FRESH,05/06/2021,Jennie Coleman,Comptes clients USD,,57.34,-57.34,,,USD 0.00,USD 47.00,USD -47.00,No,No,United States Dollar,Refund,57.34,USD 47.00
Credit Memo,CR3358,GO FRESH,05/06/2021,Jennie Coleman,Opening Balance Income,57.34,,57.34,,,USD 47.00,USD 0.00,USD 47.00,No,No,United States Dollar,Refund,-57.34,USD -47.00
Journal Entry,,,05/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,05/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Journal Entry,5/18/2021,,05/18/2021,Karyne Manseau,Frais courus Prime Sociale,484.97,,-484.97,AJ. FRAIS COURU PRIME USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,-484.97,USD 0.00
Journal Entry,5/18/2021,,05/18/2021,Karyne Manseau,Prime sociale,,484.97,484.97,AJ. FRAIS COURU PRIME USD/CAD,,CAD 0.00,CAD 484.97,CAD 484.97,No,No,Canadian Dollar,JournalEntryLine,484.97,CAD 484.97
Bill,1606,AgroFair,05/31/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1606,AgroFair,05/31/2021,Karyne Manseau,Frais qualité - origine,115.89,,-115.89,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,Bill,115.89,USD 96.00
Bill,1606,AgroFair,05/31/2021,Karyne Manseau,Frais courus qualité-origine,,115.89,115.89,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,BillLine,-115.89,USD -96.00
Journal Entry,,,06/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,06/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Journal Entry,6/23/2021,,06/23/2021,Karyne Manseau,Frais courus Prime Sociale,,301.79,301.79,AJ. FRAIS COURU PRIME USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,301.79,USD 0.00
Journal Entry,6/23/2021,,06/23/2021,Karyne Manseau,Prime sociale,301.79,,-301.79,AJ. FRAIS COURU PRIME USD/CAD,,CAD 301.79,CAD 0.00,CAD -301.79,No,No,Canadian Dollar,JournalEntryLine,-301.79,CAD -301.79
Journal Entry,6/30/2021,,06/30/2021,Karyne Manseau,Frais courus Fairtrade CA,"1,787.97",,"-1,787.97",AJ. FRAIS COURU FAIRTRADE,,"CAD 1,787.97",CAD 0.00,"CAD -1,787.97",No,No,Canadian Dollar,JournalEntryLine,"-1,787.97","CAD -1,787.97"
Journal Entry,6/30/2021,,06/30/2021,Karyne Manseau,Frais de licence CA,,"1,787.97","1,787.97",AJ. FRAIS COURU FAIRTRADE,,CAD 0.00,"CAD 1,787.97","CAD 1,787.97",No,No,Canadian Dollar,JournalEntryLine,"1,787.97","CAD 1,787.97"
Journal Entry,,,07/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,07/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Bill,1674,AgroFair,07/08/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1674,AgroFair,07/08/2021,Karyne Manseau,Frais qualité - origine,120.38,,-120.38,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,Bill,120.38,USD 96.00
Bill,1674,AgroFair,07/08/2021,Karyne Manseau,Frais courus qualité-origine,,120.38,120.38,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,BillLine,-120.38,USD -96.00
Journal Entry,7/30/2021,,07/30/2021,Karyne Manseau,Frais courus qualité-origine,,236.73,236.73,AJ. FRAIS COURU AGROFAIR USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,236.73,USD 0.00
Journal Entry,7/30/2021,,07/30/2021,Karyne Manseau,Frais qualité - origine,236.73,,-236.73,AJ. FRAIS COURU AGROFAIR USD/CAD,,CAD 236.73,CAD 0.00,CAD -236.73,No,No,Canadian Dollar,JournalEntryLine,-236.73,CAD -236.73
Journal Entry,7/30/2021,,07/30/2021,Karyne Manseau,Frais courus qualité-origine,"3,110.52",,"-3,110.52",AJ. FRAIS COURU AGROFAIR CORRECTION HFA202112,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,"-3,110.52",USD 0.00
Journal Entry,7/30/2021,,07/30/2021,Karyne Manseau,Frais qualité - origine,,"3,110.52","3,110.52",AJ. FRAIS COURU AGROFAIR CORRECTION HFA202112,,CAD 0.00,"CAD 3,110.52","CAD 3,110.52",No,No,Canadian Dollar,JournalEntryLine,"3,110.52","CAD 3,110.52"
Journal Entry,8/6/2021,,08/06/2021,Karyne Manseau,Frais courus Prime Sociale,,25.77,25.77,AJ. FRAIS COURU PRIME USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,25.77,USD 0.00
Journal Entry,8/6/2021,,08/06/2021,Karyne Manseau,Prime sociale,25.77,,-25.77,AJ. FRAIS COURU PRIME USD/CAD,,CAD 25.77,CAD 0.00,CAD -25.77,No,No,Canadian Dollar,JournalEntryLine,-25.77,CAD -25.77
Journal Entry,,,08/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,08/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Invoice,CR10082021,Pertes USD,08/10/2021,Jennie Coleman,Comptes clients USD transit,,,,,,CAD 0.00,CAD 0.00,CAD 0.00,No,No,Canadian Dollar,Invoice,0.00,CAD 0.00
Invoice,CR10082021,Pertes USD,08/10/2021,Jennie Coleman,Opening Balance Income,,"86,600.59","86,600.59",,,CAD 0.00,"CAD 86,600.59","CAD 86,600.59",No,No,Canadian Dollar,Invoice,"86,600.59","CAD 86,600.59"
Invoice,CR10082021,Pertes USD,08/10/2021,Jennie Coleman,Pertes sur achats,"86,600.59",,"-86,600.59",,,"CAD 86,600.59",CAD 0.00,"CAD -86,600.59",No,No,Canadian Dollar,InvoiceLine,"-86,600.59","CAD -86,600.59"
Payment,,Pertes USD,08/10/2021,Karyne Manseau,Comptes clients USD transit,,,,,12/31/2021,CAD 0.00,CAD 0.00,CAD 0.00,Yes,No,Canadian Dollar,Payment,0.00,CAD 0.00
Payment,,Pertes USD,08/10/2021,Karyne Manseau,Comptant CAD,,,,,12/31/2021,CAD 0.00,CAD 0.00,CAD -0.00,Yes,No,Canadian Dollar,PaymentAdjustLine,0.00,CAD 0.00
Bill,1732,AgroFair,08/25/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1732,AgroFair,08/25/2021,Karyne Manseau,Frais qualité - origine,,121.04,121.04,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-121.04,USD -96.00
Bill,1732,AgroFair,08/25/2021,Karyne Manseau,Frais courus qualité-origine,121.04,,-121.04,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,121.04,USD 96.00
Bill,1735,AgroFair,08/25/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1735,AgroFair,08/25/2021,Karyne Manseau,Frais qualité - origine,,121.04,121.04,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-121.04,USD -96.00
Bill,1735,AgroFair,08/25/2021,Karyne Manseau,Frais courus qualité-origine,121.04,,-121.04,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,121.04,USD 96.00
Bill,1734,AgroFair,08/25/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1734,AgroFair,08/25/2021,Karyne Manseau,Frais qualité - origine,,121.04,121.04,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-121.04,USD -96.00
Bill,1734,AgroFair,08/25/2021,Karyne Manseau,Frais courus qualité-origine,121.04,,-121.04,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,121.04,USD 96.00
Bill,1736,AgroFair,08/26/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1736,AgroFair,08/26/2021,Karyne Manseau,Frais qualité - origine,,121.14,121.14,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-121.14,USD -96.00
Bill,1736,AgroFair,08/26/2021,Karyne Manseau,Frais courus qualité-origine,121.14,,-121.14,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,121.14,USD 96.00
Bill,1739,AgroFair,08/30/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1739,AgroFair,08/30/2021,Karyne Manseau,Frais qualité - origine,,121.30,121.30,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-121.30,USD -96.00
Bill,1739,AgroFair,08/30/2021,Karyne Manseau,Frais courus qualité-origine,121.30,,-121.30,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,121.30,USD 96.00
Bill,1740,AgroFair,08/30/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1740,AgroFair,08/30/2021,Karyne Manseau,Frais qualité - origine,,121.30,121.30,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-121.30,USD -96.00
Bill,1740,AgroFair,08/30/2021,Karyne Manseau,Frais courus qualité-origine,121.30,,-121.30,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,121.30,USD 96.00
Bill,1738,AgroFair,08/31/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1738,AgroFair,08/31/2021,Karyne Manseau,Frais qualité - origine,,120.99,120.99,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-120.99,USD -96.00
Bill,1738,AgroFair,08/31/2021,Karyne Manseau,Frais courus qualité-origine,120.99,,-120.99,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,120.99,USD 96.00
Journal Entry,,,09/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,09/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Bill,4832P-1757,EL GUABO,09/15/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,4832P-1757,ASOGUABO,09/15/2021,Karyne Manseau,Prime sociale,"1,214.50",,"-1,214.50",,,USD 960.00,USD 0.00,USD -960.00,No,No,United States Dollar,Bill,"1,214.50",USD 960.00
Bill,4832P-1757,EL GUABO,09/15/2021,Karyne Manseau,Frais courus Prime Sociale,,"1,214.50","1,214.50",,,USD 0.00,USD 960.00,USD 960.00,No,No,United States Dollar,BillLine,"-1,214.50",USD -960.00
Journal Entry,9/20/2021,,09/20/2021,Karyne Manseau,Frais courus Prime Sociale,,734.19,734.19,AJ. FRAIS COURU PRIME USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,734.19,USD 0.00
Journal Entry,9/20/2021,,09/20/2021,Karyne Manseau,Prime sociale,734.19,,-734.19,AJ. FRAIS COURU PRIME USD/CAD,,CAD 734.19,CAD 0.00,CAD -734.19,No,No,Canadian Dollar,JournalEntryLine,-734.19,CAD -734.19
Journal Entry,9/30/2021,,09/30/2021,Karyne Manseau,Frais courus Fairtrade CA,"2,236.24",,"-2,236.24",AJ. FRAIS COURU FAIRTRADE,,"CAD 2,236.24",CAD 0.00,"CAD -2,236.24",No,No,Canadian Dollar,JournalEntryLine,"-2,236.24","CAD -2,236.24"
Journal Entry,9/30/2021,,09/30/2021,Karyne Manseau,Frais de licence CA,,"2,236.24","2,236.24",AJ. FRAIS COURU FAIRTRADE,,CAD 0.00,"CAD 2,236.24","CAD 2,236.24",No,No,Canadian Dollar,JournalEntryLine,"2,236.24","CAD 2,236.24"
Journal Entry,,,10/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,10/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Invoice,3615,Fresh Direct Produce,10/18/2021,Jennie Coleman,Comptes clients USD transit,"26,441.54",,"26,441.54",1310331,,"CAD 26,441.54",CAD 0.00,"CAD 26,441.54",No,No,Canadian Dollar,Invoice,"26,441.54","CAD 26,441.54"
Invoice,3615,Fresh Direct Produce,10/18/2021,Jennie Coleman,Opening Balance Income,,"26,441.54","26,441.54",,,CAD 0.00,"CAD 26,441.54","CAD 26,441.54",No,No,Canadian Dollar,Invoice,"26,441.54","CAD 26,441.54"
Invoice,3639,GO FRESH,10/29/2021,Jennie Coleman,Comptes clients USD transit,"11,143.74",,"11,143.74",10402,,"CAD 11,143.74",CAD 0.00,"CAD 11,143.74",No,No,Canadian Dollar,Invoice,"11,143.74","CAD 11,143.74"
Invoice,3639,GO FRESH,10/29/2021,Jennie Coleman,Opening Balance Income,,"11,143.74","11,143.74",,,CAD 0.00,"CAD 11,143.74","CAD 11,143.74",No,No,Canadian Dollar,Invoice,"11,143.74","CAD 11,143.74"
Invoice,3648,Costco Vaughan Wet,11/02/2021,Jennie Coleman,Comptes clients USD transit,"17,995.44",,"17,995.44",572-1014013,,"CAD 17,995.44",CAD 0.00,"CAD 17,995.44",No,No,Canadian Dollar,Invoice,"17,995.44","CAD 17,995.44"
