Status,Number,Supplier,Due Date,Customer,Income,Expense,Profit,Customer:Account Number,Date,End Date,Employee,Progress (%)
Open,4623,Marplantis Organic Sustainable Agriculture,01/08/2025,,0.00,"18,324.36","-18,324.36",,01/08/2025,01/08/2025,David Melo,11
Open,4622,Marplantis Organic Sustainable Agriculture,01/08/2025,,0.00,"18,324.36","-18,324.36",,01/08/2025,01/08/2025,David Melo,11
Open,4619,Marplantis Organic Sustainable Agriculture,01/07/2025,,0.00,"19,217.52","-19,217.52",,01/07/2025,01/07/2025,David Melo,44
Open,4618,Marplantis Organic Sustainable Agriculture,01/07/2025,,0.00,"19,217.52","-19,217.52",,01/07/2025,01/07/2025,David Melo,44
Open,4617,Marplantis Organic Sustainable Agriculture,01/07/2025,,0.00,"18,210.15","-18,210.15",,01/07/2025,01/07/2025,David Melo,44
Open,4616,Marplantis Organic Sustainable Agriculture,01/07/2025,,0.00,"18,210.15","-18,210.15",,01/07/2025,01/07/2025,David Melo,44
Open,4615,Hacienda Celia María C.A.,01/07/2025,,0.00,"18,378.04","-18,378.04",,01/07/2025,01/07/2025,David Melo,44
Open,,,01/07/2025,,0.00,0.00,0.00,,01/07/2025,01/07/2025,David Melo,0
Open,4614,C.I. AGRICOLAS LAS FLORES S.A.S.,12/31/2024,,0.00,"19,579.82","-19,579.82",,12/31/2024,12/31/2024,David Melo,11
Open,4613,C.I. AGRICOLAS LAS FLORES S.A.S.,12/31/2024,,0.00,"19,579.82","-19,579.82",,12/31/2024,12/31/2024,David Melo,11
Open,4610,Coliman Pacific Corporation,12/31/2024,,0.00,"18,225.90","-18,225.90",,12/31/2024,12/31/2024,David Melo,11
Open,4609,Coliman Pacific Corporation,12/31/2024,,0.00,"23,107.84","-23,107.84",,12/31/2024,12/31/2024,David Melo,11
Open,4612,Marplantis Organic Sustainable Agriculture,12/31/2024,,0.00,"18,356.09","-18,356.09",,12/31/2024,12/31/2024,David Melo,11
Open,4608,ASOGUABO,12/31/2024,,0.00,"19,302.10","-19,302.10",,12/31/2024,12/31/2024,David Melo,44
Open,4607,ASOGUABO,12/31/2024,,0.00,"18,290.99","-18,290.99",,12/31/2024,12/31/2024,David Melo,44
Open,4606,ASOGUABO,12/31/2024,,0.00,"18,290.99","-18,290.99",,12/31/2024,12/31/2024,David Melo,44
Open,4605,ASOGUABO,12/31/2024,,0.00,"18,290.99","-18,290.99",,12/31/2024,12/31/2024,David Melo,44
Open,4604,ASOGUABO,12/31/2024,,0.00,"18,290.99","-18,290.99",,12/31/2024,12/31/2024,David Melo,44
Open,4611,PRIECOR S.A.,12/31/2024,,0.00,"18,356.09","-18,356.09",,12/31/2024,12/31/2024,David Melo,44
Open,4601,Coliman Pacific Corporation,12/30/2024,,0.00,"24,301.20","-24,301.20",,12/30/2024,12/30/2024,David Melo,11
Open,4603,Coliman Pacific Corporation,12/30/2024,,0.00,"23,107.84","-23,107.84",,12/30/2024,12/30/2024,David Melo,11
Open,4602,Coliman Pacific Corporation,12/30/2024,,0.00,"23,107.84","-23,107.84",,12/30/2024,12/30/2024,David Melo,11
Open,4600,Coliman Pacific Corporation,12/30/2024,,0.00,"23,107.84","-23,107.84",,12/30/2024,12/30/2024,David Melo,11
Open,4599,Coliman Pacific Corporation,12/30/2024,,0.00,"23,107.84","-23,107.84",,12/30/2024,12/30/2024,David Melo,11
Open,4598,Coliman Pacific Corporation,12/30/2024,,0.00,"23,107.84","-23,107.84",,12/30/2024,12/30/2024,David Melo,11
Open,4595,C.I. AGRICOLAS LAS FLORES S.A.S.,12/30/2024,,0.00,"19,579.82","-19,579.82",,12/30/2024,12/30/2024,David Melo,44
Open,4593,C.I. AGRICOLAS LAS FLORES S.A.S.,12/30/2024,,0.00,"19,579.82","-19,579.82",,12/30/2024,12/30/2024,David Melo,44
Open,4597,Marplantis Organic Sustainable Agriculture,12/30/2024,,0.00,"18,356.09","-18,356.09",,12/30/2024,12/30/2024,David Melo,44
Open,4596,Marplantis Organic Sustainable Agriculture,12/30/2024,,0.00,"18,356.09","-18,356.09",,12/30/2024,12/30/2024,David Melo,44
Open,4591,ASOGUABO,12/24/2024,,0.00,"21,248.33","-21,248.33",,12/24/2024,12/24/2024,David Melo,44
Open,4592,ASOGUABO,12/24/2024,,0.00,"20,510.45","-20,510.45",,12/24/2024,12/24/2024,David Melo,44
Open,4590,ASOGUABO,12/24/2024,,0.00,"20,510.45","-20,510.45",,12/24/2024,12/24/2024,David Melo,44
Open,4594,ASOGUABO,12/24/2024,,0.00,"27,706.55","-27,706.55",,12/24/2024,12/24/2024,David Melo,44
Open,4589,C.I. AGRICOLAS LAS FLORES S.A.S.,12/22/2024,,0.00,"21,281.67","-21,281.67",,12/22/2024,12/22/2024,David Melo,44
Open,4576,C.I. AGRICOLAS LAS FLORES S.A.S.,12/22/2024,,0.00,"21,281.67","-21,281.67",,12/22/2024,12/22/2024,David Melo,44
Open,4587,Coliman Pacific Corporation,12/22/2024,,0.00,"23,043.94","-23,043.94",,12/22/2024,12/22/2024,David Melo,11
Open,4584,Coliman Pacific Corporation,12/22/2024,,0.00,"23,043.94","-23,043.94",,12/22/2024,12/22/2024,David Melo,11
Open,4586,Coliman Pacific Corporation,12/22/2024,,0.00,"24,234.00","-24,234.00",,12/22/2024,12/22/2024,David Melo,11
Open,4585,Coliman Pacific Corporation,12/22/2024,,0.00,"23,043.94","-23,043.94",,12/22/2024,12/22/2024,David Melo,11
Open,4583,Coliman Pacific Corporation,12/22/2024,,0.00,"23,043.94","-23,043.94",,12/22/2024,12/22/2024,David Melo,11
Open,4578,Coliman Pacific Corporation,12/22/2024,,0.00,"23,043.94","-23,043.94",,12/22/2024,12/22/2024,David Melo,11
Open,4582,Coliman Pacific Corporation,12/22/2024,,0.00,"24,234.00","-24,234.00",,12/22/2024,12/22/2024,David Melo,11
Open,4581,Coliman Pacific Corporation,12/22/2024,,0.00,"23,043.94","-23,043.94",,12/22/2024,12/22/2024,David Melo,11
Open,4579,Coliman Pacific Corporation,12/22/2024,,0.00,"18,175.50","-18,175.50",,12/22/2024,12/22/2024,David Melo,11
Open,4580,Coliman Pacific Corporation,12/22/2024,,0.00,"24,234.00","-24,234.00",,12/22/2024,12/22/2024,David Melo,11
Open,4577,Coliman Pacific Corporation,12/22/2024,,0.00,"18,175.50","-18,175.50",,12/22/2024,12/22/2024,David Melo,11
Open,4574,Latbio S.A.,12/19/2024,,0.00,"19,802.59","-19,802.59",,12/19/2024,12/19/2024,David Melo,44
Open,4573,Hacienda Celia María C.A.,12/19/2024,,0.00,"26,214.24","-26,214.24",,12/19/2024,12/19/2024,David Melo,44
Open,4575,ASOGUABO,12/19/2024,,"33,006.37","26,845.60","6,160.77",,12/19/2024,12/19/2024,David Melo,66
Open,4572,ASOGUABO,12/19/2024,,"32,632.96","29,056.59","3,576.37",,12/19/2024,12/19/2024,David Melo,66
Open,4571,ASOGUABO,12/19/2024,,0.00,"32,434.95","-32,434.95",,12/19/2024,12/19/2024,David Melo,44
Open,4570,ASOGUABO,12/19/2024,,0.00,"26,192.54","-26,192.54",,12/19/2024,12/19/2024,David Melo,44
Open,4569,ASOGUABO,12/19/2024,,0.00,"26,192.54","-26,192.54",,12/19/2024,12/19/2024,David Melo,44
Open,4568,PRIECOR S.A.,12/19/2024,,0.00,"24,673.35","-24,673.35",,12/19/2024,12/19/2024,David Melo,44
Open,4588,Coliman Pacific Corporation,12/19/2024,,"34,850.52","25,243.83","9,606.69",,12/19/2024,12/19/2024,David Melo,100
Open,4515,APPBOSA,12/16/2024,,0.00,"26,701.61","-26,701.61",,12/16/2024,12/16/2024,David Melo,44
Open,4558,Surgesa S.A.,12/16/2024,,0.00,"27,407.30","-27,407.30",,12/16/2024,12/16/2024,David Melo,44
Open,4557,Surgesa S.A.,12/16/2024,,0.00,"26,214.24","-26,214.24",,12/16/2024,12/16/2024,David Melo,44
Open,4559,Marplantis Organic Sustainable Agriculture,12/16/2024,,0.00,"26,821.87","-26,821.87",,12/16/2024,12/16/2024,David Melo,44
Open,4554,Marplantis Organic Sustainable Agriculture,12/16/2024,,0.00,"26,045.00","-26,045.00",,12/16/2024,12/16/2024,David Melo,44
Open,4553,Marplantis Organic Sustainable Agriculture,12/16/2024,,0.00,"26,044.60","-26,044.60",,12/16/2024,12/16/2024,David Melo,44
Open,4552,Marplantis Organic Sustainable Agriculture,12/16/2024,,0.00,"26,044.60","-26,044.60",,12/16/2024,12/16/2024,David Melo,44
Open,4560,C.I. AGRICOLAS LAS FLORES S.A.S.,12/16/2024,,"33,768.81","27,499.41","6,269.40",,12/16/2024,12/16/2024,David Melo,66
Open,4550,C.I. AGRICOLAS LAS FLORES S.A.S.,12/16/2024,,"35,584.78","27,499.41","8,085.37",,12/16/2024,12/16/2024,David Melo,66
Open,4567,Coliman Pacific Corporation,12/13/2024,,0.00,"22,780.35","-22,780.35",,12/13/2024,12/13/2024,David Melo,11
Open,4566,Coliman Pacific Corporation,12/13/2024,,0.00,"22,780.35","-22,780.35",,12/13/2024,12/13/2024,David Melo,11
Open,4565,Coliman Pacific Corporation,12/13/2024,,"33,073.67","26,329.90","6,743.77",,12/13/2024,12/13/2024,David Melo,55
Open,4564,Coliman Pacific Corporation,12/13/2024,,"34,790.29","26,165.79","8,624.50",,12/13/2024,12/13/2024,David Melo,66
Open,4563,Coliman Pacific Corporation,12/13/2024,,"34,790.29","23,603.06","11,187.23",,12/13/2024,12/13/2024,David Melo,100
Open,4562,ASOGUABO,12/13/2024,,"34,573.45","28,560.62","6,012.83",,12/13/2024,12/13/2024,David Melo,66
Open,4011,,12/13/2024,,0.00,0.00,0.00,,12/13/2024,12/13/2024,David Melo,0
Open,3844,ASOGUABO,12/13/2024,,0.00,0.00,0.00,,12/13/2024,12/13/2024,David Melo,0
Open,4544,APPBOSA,12/11/2024,,0.00,"26,943.24","-26,943.24",,12/11/2024,12/11/2024,David Melo,44
Open,4551,Latbio S.A.,12/11/2024,,0.00,"25,175.12","-25,175.12",,12/11/2024,12/11/2024,David Melo,44
Open,4549,Hacienda Celia María C.A.,12/11/2024,,0.00,"25,446.57","-25,446.57",,12/11/2024,12/11/2024,David Melo,44
Open,4556,ASOGUABO,12/11/2024,,0.00,"26,584.70","-26,584.70",,12/11/2024,12/11/2024,David Melo,44
Open,4555,ASOGUABO,12/11/2024,,0.00,"26,584.70","-26,584.70",,12/11/2024,12/11/2024,David Melo,44
Open,4548,ASOGUABO,12/11/2024,,0.00,"26,078.94","-26,078.94",,12/11/2024,12/11/2024,David Melo,44
Open,4547,ASOGUABO,12/11/2024,,0.00,"25,375.16","-25,375.16",,12/11/2024,12/11/2024,David Melo,44
Open,4546,ASOGUABO,12/11/2024,,0.00,"25,375.16","-25,375.16",,12/11/2024,12/11/2024,David Melo,44
Open,4545,ASOGUABO,12/11/2024,,"34,573.45","25,582.33","8,991.12",,12/11/2024,12/11/2024,David Melo,66
Open,4535,PRIECOR S.A.,12/11/2024,,0.00,"23,719.25","-23,719.25",,12/11/2024,12/11/2024,David Melo,44
Open,4542,Coliman Pacific Corporation,12/09/2024,,"32,689.45","26,734.05","5,955.40",,12/09/2024,12/09/2024,David Melo,66
Open,4543,Coliman Pacific Corporation,12/09/2024,,"34,814.39","26,901.72","7,912.67",,12/09/2024,12/09/2024,David Melo,66
Open,4541,Coliman Pacific Corporation,12/09/2024,,"32,689.45","27,469.04","5,220.41",,12/09/2024,12/09/2024,David Melo,100
Open,4540,Coliman Pacific Corporation,12/09/2024,,"34,850.52","25,120.95","9,729.57",,12/09/2024,12/09/2024,David Melo,100
Open,4539,Coliman Pacific Corporation,12/09/2024,,"33,827.27","26,219.60","7,607.67",,12/09/2024,12/09/2024,David Melo,100
Open,4538,Coliman Pacific Corporation,12/09/2024,,"33,733.73","30,870.60","2,863.13",,12/09/2024,12/09/2024,David Melo,100
Open,4527,Coliman Pacific Corporation,12/09/2024,,"28,950.26","17,854.20","11,096.06",,12/09/2024,12/09/2024,David Melo,66
Open,4537,Surgesa S.A.,12/09/2024,,"34,814.39","25,867.45","8,946.94",,12/09/2024,12/09/2024,David Melo,66
Open,4533,Surgesa S.A.,12/09/2024,,"34,814.39","25,867.45","8,946.94",,12/09/2024,12/09/2024,David Melo,66
Open,4523,Marplantis Organic Sustainable Agriculture,12/09/2024,,0.00,"27,775.70","-27,775.70",,12/09/2024,12/09/2024,David Melo,44
Open,4536,Marplantis Organic Sustainable Agriculture,12/09/2024,,0.00,"26,673.47","-26,673.47",,12/09/2024,12/09/2024,David Melo,66
Open,4534,Marplantis Organic Sustainable Agriculture,12/09/2024,,0.00,"26,673.47","-26,673.47",,12/09/2024,12/09/2024,David Melo,44
Open,4532,Marplantis Organic Sustainable Agriculture,12/09/2024,,"34,814.39","26,673.47","8,140.92",,12/09/2024,12/09/2024,David Melo,66
Open,4528,Marplantis Organic Sustainable Agriculture,12/09/2024,,"34,573.45","28,811.78","5,761.67",,12/09/2024,12/09/2024,David Melo,66
Open,4531,C.I. AGRICOLAS LAS FLORES S.A.S.,12/09/2024,,"33,827.27","29,475.36","4,351.91",,12/09/2024,12/09/2024,David Melo,66
Open,4530,C.I. AGRICOLAS LAS FLORES S.A.S.,12/09/2024,,"32,800.65","25,639.81","7,160.84",,12/09/2024,12/09/2024,David Melo,66
Open,4526,Latbio S.A.,12/05/2024,,"34,573.45","27,526.26","7,047.19",,12/05/2024,12/05/2024,David Melo,66
Open,4525,Hacienda Celia María C.A.,12/05/2024,,0.00,"25,220.55","-25,220.55",,12/05/2024,12/05/2024,David Melo,44
Open,4529,ASOGUABO,12/05/2024,,0.00,"22,032.34","-22,032.34",,12/05/2024,12/05/2024,David Melo,44
Open,4521,ASOGUABO,12/05/2024,,"30,841.69","26,706.88","4,134.81",,12/05/2024,12/05/2024,David Melo,100
Open,4520,ASOGUABO,12/05/2024,,0.00,"25,551.62","-25,551.62",,12/05/2024,12/05/2024,David Melo,44
Open,4522,ASOGUABO,12/05/2024,,0.00,"26,431.44","-26,431.44",,12/05/2024,12/05/2024,David Melo,44
Open,4524,ASOGUABO,12/05/2024,,0.00,"25,228.56","-25,228.56",,12/05/2024,12/05/2024,David Melo,44
Open,4519,ASOGUABO,12/05/2024,,0.00,"25,228.56","-25,228.56",,12/05/2024,12/05/2024,David Melo,44
Open,4518,ASOGUABO,12/05/2024,,0.00,"25,228.56","-25,228.56",,12/05/2024,12/05/2024,David Melo,44
Open,4517,ASOGUABO,12/05/2024,,"34,754.15","28,813.83","5,940.32",,12/05/2024,12/05/2024,David Melo,66
Open,4516,PRIECOR S.A.,12/05/2024,,0.00,"25,036.61","-25,036.61",,12/05/2024,12/05/2024,David Melo,44
Open,4514,Coliman Pacific Corporation,12/03/2024,,"32,689.45","26,675.76","6,013.69",,12/03/2024,12/03/2024,David Melo,100
Open,4513,Coliman Pacific Corporation,12/03/2024,,"33,698.65","26,020.16","7,678.49",,12/03/2024,12/03/2024,David Melo,100
Open,4510,Surgesa S.A.,12/02/2024,,"34,754.15","27,937.30","6,816.85",,12/02/2024,12/02/2024,David Melo,66
Open,4509,Surgesa S.A.,12/02/2024,,"32,962.84","28,078.77","4,884.07",,12/02/2024,12/02/2024,David Melo,100
Open,4508,Marplantis Organic Sustainable Agriculture,12/02/2024,,0.00,"26,268.59","-26,268.59",,12/02/2024,12/02/2024,David Melo,44
Open,4507,Marplantis Organic Sustainable Agriculture,12/02/2024,,0.00,"25,175.12","-25,175.12",,12/02/2024,12/02/2024,David Melo,44
Open,4506,Marplantis Organic Sustainable Agriculture,12/02/2024,,"34,850.52","26,882.70","7,967.82",,12/02/2024,12/02/2024,David Melo,66
Open,4505,Marplantis Organic Sustainable Agriculture,12/02/2024,,"34,850.52","27,603.70","7,246.82",,12/02/2024,12/02/2024,David Melo,66
Open,4504,Marplantis Organic Sustainable Agriculture,12/02/2024,,"34,790.29","25,359.32","9,430.97",,12/02/2024,12/02/2024,David Melo,100
Open,4511,Coliman Pacific Corporation,11/28/2024,,"29,182.27","26,654.04","2,528.23",,11/28/2024,11/28/2024,David Melo,66
Open,4512,Coliman Pacific Corporation,11/28/2024,,"33,254.32","30,810.75","2,443.57",,11/28/2024,11/28/2024,David Melo,100
Open,4503,C.I. LA SAMARIA S.A.S,11/28/2024,,"33,827.27","26,176.62","7,650.65",,11/28/2024,11/28/2024,David Melo,66
Open,4502,C.I. AGRICOLAS LAS FLORES S.A.S.,11/28/2024,,"35,646.39","25,609.72","10,036.67",,11/28/2024,11/28/2024,David Melo,66
Open,4501,C.I. AGRICOLAS LAS FLORES S.A.S.,11/28/2024,,"33,063.52","25,582.72","7,480.80",,11/28/2024,11/28/2024,David Melo,100
Open,4500,APPBOSA,11/28/2024,,"33,558.34","26,769.80","6,788.54",,11/28/2024,11/28/2024,David Melo,66
Open,4499,Latbio S.A.,11/28/2024,,"32,962.84","26,714.30","6,248.54",,11/28/2024,11/28/2024,David Melo,100
Open,4498,Hacienda Celia María C.A.,11/28/2024,,"34,850.52","26,799.71","8,050.81",,11/28/2024,11/28/2024,David Melo,66
Open,4497,ASOGUABO,11/28/2024,,"30,841.69","26,140.51","4,701.18",,11/28/2024,11/28/2024,David Melo,100
Open,4496,ASOGUABO,11/28/2024,,"33,827.27","25,836.70","7,990.57",,11/28/2024,11/28/2024,David Melo,100
Open,4495,ASOGUABO,12/30/2024,,"30,841.69","23,832.08","7,009.61",,11/28/2024,11/28/2024,David Melo,100
Open,4494,ASOGUABO,11/28/2024,,"33,230.16","26,924.08","6,306.08",,11/28/2024,11/28/2024,David Melo,100
Open,4493,ASOGUABO,11/28/2024,,"34,573.45","27,198.47","7,374.98",,11/28/2024,11/28/2024,David Melo,100
Open,4492,ASOGUABO,11/28/2024,,"34,573.45","24,525.22","10,048.23",,11/28/2024,11/28/2024,David Melo,100
Open,4491,ASOGUABO,11/28/2024,,"34,850.52","26,948.11","7,902.41",,11/28/2024,11/28/2024,David Melo,100
Open,4490,ASOGUABO,11/28/2024,,"34,850.52","26,945.60","7,904.92",,11/28/2024,11/28/2024,David Melo,100
Open,4489,PRIECOR S.A.,11/28/2024,,"32,700.78","24,732.13","7,968.65",,11/28/2024,11/28/2024,David Melo,66
Open,4467,ASOGUABO,11/26/2024,,"33,138.26","28,425.26","4,713.00",,11/26/2024,11/26/2024,David Melo,100
Open,4488,Coliman Pacific Corporation,11/26/2024,,"33,137.40","30,440.63","2,696.77",,11/26/2024,11/26/2024,David Melo,100
Open,4481,Surgesa S.A.,11/22/2024,,"34,850.52","29,194.66","5,655.86",,11/22/2024,11/22/2024,David Melo,100
Open,4480,Surgesa S.A.,11/22/2024,,"34,850.52","29,211.92","5,638.60",,11/22/2024,11/22/2024,David Melo,100
Open,4482,Marplantis Organic Sustainable Agriculture,11/22/2024,,"33,063.52","27,597.69","5,465.83",,11/22/2024,11/22/2024,David Melo,100
Open,4479,Coliman Pacific Corporation,11/22/2024,,"29,182.27","26,686.43","2,495.84",,11/22/2024,11/22/2024,David Melo,100
Open,4470,Coliman Pacific Corporation,11/22/2024,,"32,689.45","26,155.02","6,534.43",,11/22/2024,11/22/2024,David Melo,100
Open,4484,Coliman Pacific Corporation,11/22/2024,,"34,754.15","29,701.95","5,052.20",,11/22/2024,11/22/2024,David Melo,100
Open,4485,Coliman Pacific Corporation,11/22/2024,,"34,718.01","29,759.96","4,958.05",,11/22/2024,11/22/2024,David Melo,100
Open,4486,Coliman Pacific Corporation,11/22/2024,,"34,722.27","30,522.55","4,199.72",,11/22/2024,11/22/2024,David Melo,100
Open,4460,Coliman Pacific Corporation,11/22/2024,,"33,394.64","30,780.41","2,614.23",,11/22/2024,11/22/2024,David Melo,100
Open,4487,Coliman Pacific Corporation,11/29/2024,,"32,950.31","32,369.20",581.11,,11/22/2024,11/22/2024,David Melo,100
Open,4478,Marplantis Organic Sustainable Agriculture,11/22/2024,,"34,850.52","28,671.11","6,179.41",,11/22/2024,11/22/2024,David Melo,100
Open,4477,Marplantis Organic Sustainable Agriculture,11/22/2024,,"34,850.52","28,473.63","6,376.89",,11/22/2024,11/22/2024,David Melo,100
Open,4476,Marplantis Organic Sustainable Agriculture,11/22/2024,,"34,850.52","28,454.13","6,396.39",,11/22/2024,11/22/2024,David Melo,100
Open,4461,Marplantis Organic Sustainable Agriculture,11/22/2024,,"33,827.27","33,379.83",447.44,,11/22/2024,11/22/2024,David Melo,100
Open,4475,C.I. AGRICOLAS LAS FLORES S.A.S.,11/22/2024,,"32,972.09","25,603.08","7,369.01",,11/22/2024,11/22/2024,David Melo,100
Open,4474,C.I. AGRICOLAS LAS FLORES S.A.S.,11/22/2024,,"33,063.52","25,602.07","7,461.45",,11/22/2024,11/22/2024,David Melo,100
Open,4473,APPBOSA,11/21/2024,,"32,937.80","27,463.61","5,474.19",,11/21/2024,11/21/2024,David Melo,100
Open,4472,Latbio S.A.,11/21/2024,,"32,871.69","26,390.05","6,481.64",,11/21/2024,11/21/2024,David Melo,100
Open,4483,Hacienda Celia María C.A.,11/21/2024,,"34,754.15","27,854.02","6,900.13",,11/21/2024,11/21/2024,David Melo,100
Open,4471,Hacienda Celia María C.A.,11/21/2024,,"34,754.15","27,839.19","6,914.96",,11/21/2024,11/21/2024,David Melo,100
Open,4469,ASOGUABO,11/21/2024,,"30,756.41","24,916.63","5,839.78",,11/21/2024,11/21/2024,David Melo,100
Open,4468,ASOGUABO,11/21/2024,,"30,756.41","24,747.98","6,008.43",,11/21/2024,11/21/2024,David Melo,100
Open,4466,ASOGUABO,11/21/2024,,"34,850.52","28,800.88","6,049.64",,11/21/2024,11/21/2024,David Melo,100
Open,4465,ASOGUABO,11/21/2024,,"34,850.52","27,860.74","6,989.78",,11/21/2024,11/21/2024,David Melo,100
Open,4464,ASOGUABO,11/21/2024,,"34,754.15","27,866.54","6,887.61",,11/21/2024,11/21/2024,David Melo,100
Open,4463,ASOGUABO,11/21/2024,,"34,850.52","28,155.84","6,694.68",,11/21/2024,11/21/2024,David Melo,100
Open,4462,PRIECOR S.A.,12/20/2024,,"32,599.06","25,711.30","6,887.76",,11/21/2024,11/21/2024,David Melo,100
Open,4453,Marplantis Organic Sustainable Agriculture,11/18/2024,,"35,646.39","28,276.23","7,370.16",,11/18/2024,11/18/2024,David Melo,100
Open,4450,Surgesa S.A.,11/18/2024,,"34,850.52","20,228.14","14,622.38",,11/18/2024,11/18/2024,David Melo,100
Open,4449,Surgesa S.A.,11/18/2024,,"34,850.52","25,619.94","9,230.58",,11/18/2024,11/18/2024,David Melo,100
Open,3990,Marplantis Organic Sustainable Agriculture,11/18/2024,,"34,850.52","26,911.26","7,939.26",,11/18/2024,11/18/2024,David Melo,66
Open,4451,Marplantis Organic Sustainable Agriculture,11/18/2024,,"34,850.52","24,944.16","9,906.36",,11/18/2024,11/18/2024,David Melo,100
Open,4448,Marplantis Organic Sustainable Agriculture,11/18/2024,,"32,962.84","26,955.50","6,007.34",,11/18/2024,11/18/2024,David Melo,100
Open,4447,Marplantis Organic Sustainable Agriculture,11/18/2024,,"34,850.52","27,556.28","7,294.24",,11/18/2024,11/18/2024,David Melo,100
Open,4454,C.I. AGRICOLAS LAS FLORES S.A.S.,11/18/2024,,"32,732.08","33,203.04",-470.96,,11/18/2024,11/18/2024,David Melo,100
Open,3999,C.I. AGRICOLAS LAS FLORES S.A.S.,11/18/2024,,"32,640.66","26,263.73","6,376.93",,11/18/2024,11/18/2024,David Melo,100
Open,4459,ASOGUABO,11/18/2024,,"31,496.23","28,146.08","3,350.15",,11/18/2024,11/18/2024,David Melo,100
Open,4457,Coliman Pacific Corporation,11/18/2024,,"33,874.76","29,197.35","4,677.41",,11/18/2024,11/18/2024,David Melo,100
Open,4458,Coliman Pacific Corporation,11/25/2024,,"31,697.73","25,862.96","5,834.77",,11/18/2024,11/18/2024,David Melo,100
Open,4456,Coliman Pacific Corporation,11/14/2024,,"29,071.31","26,582.70","2,488.61",,11/14/2024,11/14/2024,David Melo,100
Open,4455,Coliman Pacific Corporation,11/14/2024,,"34,501.18","27,349.10","7,152.08",,11/14/2024,11/14/2024,David Melo,100
Open,3985,Coliman Pacific Corporation,11/14/2024,,"28,688.00","26,255.78","2,432.22",,11/14/2024,11/14/2024,David Melo,100
Open,3984,Coliman Pacific Corporation,11/14/2024,,"32,104.83","25,994.75","6,110.08",,11/14/2024,11/14/2024,David Melo,100
Open,3983,Coliman Pacific Corporation,11/14/2024,,"34,356.62","29,449.88","4,906.74",,11/14/2024,11/14/2024,David Melo,100
Open,3982,Coliman Pacific Corporation,11/14/2024,,"34,260.25","29,410.22","4,850.03",,11/14/2024,11/14/2024,David Melo,100
Open,4443,APPBOSA,11/11/2024,,"35,547.81","27,249.75","8,298.06",,11/11/2024,11/11/2024,David Melo,100
Open,4445,Latbio S.A.,11/11/2024,,"32,226.17","25,069.38","7,156.79",,11/11/2024,11/11/2024,David Melo,100
Open,4444,Hacienda Celia María C.A.,11/11/2024,,"34,754.15","27,319.63","7,434.52",,11/11/2024,11/11/2024,David Melo,100
Open,4452,ASOGUABO,11/11/2024,,"30,447.24","25,119.00","5,328.24",,11/11/2024,11/11/2024,David Melo,100
Open,3997,ASOGUABO,11/11/2024,,"30,404.60","26,305.31","4,099.29",,11/11/2024,11/11/2024,David Melo,100
Open,4446,ASOGUABO,11/11/2024,,"32,759.21","28,259.17","4,500.04",,11/11/2024,11/11/2024,David Melo,100
Open,4442,ASOGUABO,11/11/2024,,"34,573.45","27,956.61","6,616.84",,11/11/2024,11/11/2024,David Melo,100
Open,3998,ASOGUABO,11/11/2024,,"34,754.15","28,175.17","6,578.98",,11/11/2024,11/11/2024,David Melo,100
Open,3996,ASOGUABO,11/11/2024,,"34,573.45","27,943.56","6,629.89",,11/11/2024,11/11/2024,David Melo,100
