Status,Invoiced,Number,Date,Buyer,Job,Quantity,Amount,Shipping Date,Amount (CAD),Unbilled Balance (CAD),Unpaid Balance (CAD),Employee,Weight (lb),Volume (ft³),Approved Date,Payment Terms,Notes,Currency,Billing Address,Shipping Address,Seller Address,Exchange Rate,Is Cancelled,Reverse Exchange Rate,Paid,Amt. Before Tax (CAD),Other Charges (CAD),Items Amount (CAD),Billing Client,Total Discount (CAD),Total Discount,Purchase Order,Lot Number,Container#
Loading,No,4550,01/09/2025,Courchesne Larose,4550.0,960,USD 24643.20,01/13/2025,"35,584.78","35,584.78",0.00,Claudia Ramirez,"38,392.18","2,034.12",,Net 30,,United States Dollar,"9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.44,No,"35,584.78",0.0,"35,584.78",Courchesne Larose,0.0,USD 0.00,2486593,,SEGU9465097
Loading,No,4560,01/09/2025,"Chiovitti Banana Co., Ltd",4560.0,960,USD 23385.60,01/12/2025,"33,768.81","33,768.81",0.00,Claudia Ramirez,"38,392.18","2,034.12",,Net 30,,United States Dollar,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.44,No,"33,768.81",0.0,"33,768.81","Chiovitti Banana Co., Ltd",0.0,USD 0.00,250355,,BMOU9887238
Loading,No,4527CH,01/08/2025,Charlies Seattle,4527.0,720,USD 20174.40,01/10/2025,"28,950.26","28,950.26",0.00,Claudia Ramirez,"28,794.14","1,525.59",,Net 30,,United States Dollar,"5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"28,950.26",0.0,"28,950.26",Charlies Seattle,0.0,USD 0.00,7002396,,
Loading,No,4527S,01/08/2025,Sprouts Farmers Market - Distribution Centers,4527.0,48,USD 0.00,01/08/2025,0.00,0.00,0.00,Claudia Ramirez,0.00,0.00,01/12/2025,Net 30,,United States Dollar,"5445 West Missouri Ave, Glendale, AZ 85301. United States","5445 West Missouri Ave, Glendale, AZ 85301. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,0.00,0.0,0.00,Sprouts Farmers Market - Distribution Centers,0.0,USD 0.00,0980162917,,
Loading,No,4530QC,01/07/2025,Sobeys Quebec City,4530.0,240,USD 5714.40,01/07/2025,"8,200.16","8,200.16",0.00,Claudia Ramirez,"9,598.05",508.53,01/12/2025,Net 30,,United States Dollar,"950, avenue Galilee, Duberger, QC G1P 4B7. Canada","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"8,200.16",0.0,"8,200.16",Sobeys Quebec City,0.0,USD 0.00,4567010203,,SEGU9819945
Loading,No,4530BCH,01/07/2025,Sobeys BCH,4530.0,720,USD 17143.20,01/07/2025,"24,600.49","24,600.49",0.00,Claudia Ramirez,"28,794.14","1,525.59",01/12/2025,Net 30,,United States Dollar,"Montreal, QC H1G 3J5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"24,600.49",0.0,"24,600.49",Sobeys BCH,0.0,USD 0.00,4567010096,,SEGU9819945
Loading,No,4562,01/07/2025,Costco Vaughan Wet,4562.0,900,USD 24093.00,01/10/2025,"34,573.45","34,573.45",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"34,573.45",0.0,"34,573.45",Costco Vaughan Wet,0.01,USD 0.00,250240,,
Loading,No,4500,01/07/2025,"Chiovitti Banana Co., Ltd",4500.0,960,USD 23385.60,01/08/2025,"33,558.34","33,558.34",0.00,Claudia Ramirez,"38,392.18","2,034.12",,Net 30,,United States Dollar,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"33,558.34",0.0,"33,558.34","Chiovitti Banana Co., Ltd",0.0,USD 0.00,250234,,
Loading,No,4526,01/07/2025,Costco Vaughan Wet,4526.0,900,USD 24093.00,01/09/2025,"34,573.45","34,573.45",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"34,573.45",0.0,"34,573.45",Costco Vaughan Wet,0.01,USD 0.00,250235,,
Loading,No,4489,01/07/2025,Top Banana,4489.0,900,USD 22788.00,01/08/2025,"32,700.78","32,700.78",0.00,Claudia Ramirez,"35,991.00","1,908.00",,Net 30,,United States Dollar,"415 NYC Terminal Market, Bronx, NY 10474. United States","415 NYC Terminal Market, Bronx, NY 10474. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"32,700.78",0.0,"32,700.78",Top Banana,0.0,USD 0.00,010825,,MNBU4256972
Loading,No,4528,01/07/2025,Costco Vaughan Wet,4528.0,900,USD 24093.00,01/09/2025,"34,573.45","34,573.45",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"34,573.45",0.0,"34,573.45",Costco Vaughan Wet,0.01,USD 0.00,250238,,
Loading,No,4545,01/07/2025,Costco Varennes,4545.0,900,USD 24093.00,01/08/2025,"34,573.45","34,573.45",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,No,"34,573.45",0.0,"34,573.45",Costco Varennes,0.01,USD 0.00,5741231060,,
Delivered,Yes,4462,01/07/2025,Krown Produce  Fresh At Its Best™,4462.0,900,USD 22599.00,12/20/2024,"32,429.57",-169.49,0.00,Claudia Ramirez,"35,991.00","1,908.00",01/07/2025,Net 10,,United States Dollar,"4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.7,No,1.44,Yes,"32,429.57",0.0,"32,429.57",Krown Produce  Fresh At Its Best™,0.0,USD 0.00,AL1582,,
Loading,No,3990,01/03/2025,Costco Vaughan Wet,3990.0,900,USD 24093.00,01/06/2025,"34,850.52","34,850.52",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,250233,,
Loading,No,4502,01/03/2025,Courchesne Larose,4502.0,960,USD 24643.20,01/06/2025,"35,646.39","35,646.39",0.00,Claudia Ramirez,"38,392.18","2,034.12",01/12/2025,Net 30,,United States Dollar,"9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"35,646.39",0.0,"35,646.39",Courchesne Larose,0.0,USD 0.00,2482457,,SEKU9273041
Loading,No,4506,01/03/2025,Costco Varennes,4506.0,900,USD 24093.00,01/06/2025,"34,850.52","34,850.52",0.00,Claudia Ramirez,"35,992.67","1,906.99",01/12/2025,Net 30,,United States Dollar,"3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Varennes,0.0,USD 0.00,5741223246,,
Loading,No,4542,01/03/2025,Krown Produce  Fresh At Its Best™,4542.0,900,USD 22599.00,01/06/2025,"32,689.45","32,689.45",0.00,Claudia Ramirez,"35,992.67","1,906.99",01/12/2025,Net 10,,United States Dollar,"4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"32,689.45",0.0,"32,689.45",Krown Produce  Fresh At Its Best™,0.0,USD 0.00,AL1703,,
Loading,No,4505,01/03/2025,Costco Vaughan Wet,4505.0,900,USD 24093.00,01/05/2025,"34,850.52","34,850.52",0.00,Claudia Ramirez,"35,992.67","1,906.99",01/12/2025,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,250232,,
Loading,No,4531,01/03/2025,"Chiovitti Banana Co., Ltd",4531.0,960,USD 23385.60,01/10/2025,"33,827.27","33,827.27",0.00,Claudia Ramirez,"38,392.18","2,034.12",,Net 30,,United States Dollar,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"33,827.27",0.0,"33,827.27","Chiovitti Banana Co., Ltd",0.0,USD 0.00,250234 ,,TEMU9696277
Delivered,Yes,4504,01/02/2025,Costco Varennes,4504.0,900,USD 24093.00,01/03/2025,"34,850.52",60.23,"34,790.29",Claudia Ramirez,"35,992.67","1,906.99",01/07/2025,Net 30,,United States Dollar,"3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Varennes,0.0,USD 0.00,005741223237,,
Loading,No,4511,01/02/2025,Charlies Seattle,4511.0,720,USD 20174.40,01/03/2025,"29,182.27","29,182.27",0.00,Claudia Ramirez,"28,794.14","1,525.59",01/12/2025,Net 30,,United States Dollar,"5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"29,182.27",0.0,"29,182.27",Charlies Seattle,0.0,USD 0.00,7000378,,
Loading,No,4498,01/02/2025,Costco Vaughan Wet,4498.0,900,USD 24093.00,01/03/2025,"34,850.52","34,850.52",0.00,Claudia Ramirez,0.00,"1,908.00",01/12/2025,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,250112,,
Delivered,Yes,4563,01/02/2025,Costco Vaughan Wet,4563.0,900,USD 24093.00,01/03/2025,"34,850.52",60.23,"34,790.29",Claudia Ramirez,"35,992.67","1,906.99",01/07/2025,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,005721223162,,
Delivered,Yes,4493,12/31/2024,Costco Vaughan Wet,4493.0,900,USD 24093.00,01/02/2025,"34,850.52",277.07,"34,573.45",Claudia Ramirez,"35,992.67","1,906.99",01/07/2025,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,005721223154,,
Delivered,Yes,4521,12/31/2024,"Chiovitti Banana Co., Ltd",4521.0,960,USD 21321.60,01/02/2025,"30,841.69",0.00,"30,841.69",Claudia Ramirez,"38,392.18","2,034.12",01/07/2025,Net 30,,United States Dollar,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"30,841.69",0.0,"30,841.69","Chiovitti Banana Co., Ltd",0.0,USD 0.00,250110,,
Delivered,Yes,4492,12/31/2024,Costco Varennes,4492.0,900,USD 24093.00,01/02/2025,"34,850.52",277.07,"34,573.45",Claudia Ramirez,"35,992.67","1,906.99",01/07/2025,Net 30,,United States Dollar,"3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Varennes,0.0,USD 0.00,005741223230,,
Delivered,Yes,4509,12/31/2024,Top Banana,4509.0,900,USD 22788.00,01/02/2025,"32,962.84",0.00,"32,962.84",Claudia Ramirez,"35,992.67","1,906.99",01/07/2025,Net 30,,United States Dollar,"415 NYC Terminal Market, Bronx, NY 10474. United States","415 NYC Terminal Market, Bronx, NY 10474. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"32,962.84",0.0,"32,962.84",Top Banana,0.0,USD 0.00,010225,,TEMU9332887
Delivered,Yes,4541,12/31/2024,Krown Produce  Fresh At Its Best™,4541.0,900,USD 22599.00,01/03/2025,"32,689.45",0.00,"32,168.71",Claudia Ramirez,"35,992.67","1,906.99",01/07/2025,Net 10,,United States Dollar,"4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"32,689.45",0.0,"32,689.45",Krown Produce  Fresh At Its Best™,0.0,USD 0.00,AL1650,,
Delivered,Yes,4494,12/31/2024,"Chiovitti Banana Co., Ltd",4494.0,960,USD 22972.80,01/01/2025,"33,230.16",0.00,"33,230.16",Claudia Ramirez,"38,392.18","2,034.12",01/07/2025,Net 30,,United States Dollar,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"33,230.16",0.0,"33,230.16","Chiovitti Banana Co., Ltd",0.0,USD 0.00,250108,,
Delivered,Yes,4496,12/31/2024,"Chiovitti Banana Co., Ltd",4496.0,960,USD 23385.60,01/01/2025,"33,827.27",0.00,"33,827.27",Claudia Ramirez,"38,392.18","2,034.12",01/07/2025,Net 30,,United States Dollar,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"33,827.27",0.0,"33,827.27","Chiovitti Banana Co., Ltd",0.0,USD 0.00,250106,,
Delivered,Yes,4514,12/30/2024,Krown Produce  Fresh At Its Best™,4514.0,900,USD 22599.00,12/31/2024,"32,689.45",0.00,"32,168.71",Claudia Ramirez,"35,992.67","1,906.99",01/05/2025,Net 10,,United States Dollar,"4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"32,689.45",0.0,"32,689.45",Krown Produce  Fresh At Its Best™,0.0,USD 0.00,AL1649,,
Delivered,Yes,4588,12/30/2024,Costco Vaughan Wet,4588.0,900,USD 24093.00,12/31/2024,"34,850.52",0.00,"34,850.52",Claudia Ramirez,"35,992.67","1,906.99",01/05/2025,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,005721217167,,
Delivered,Yes,4501QC,12/30/2024,Sobeys Quebec City,4501.0,288,USD 6857.28,01/02/2025,"9,919.06",0.00,"9,919.06",Claudia Ramirez,"11,517.65",610.24,01/07/2025,Net 30,,United States Dollar,"950, avenue Galilee, Duberger, QC G1P 4B7. Canada","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"9,919.06",0.0,"9,919.06",Sobeys Quebec City,0.0,USD 0.00,4566983158,,SZLU9304368
Delivered,Yes,4501BCH,12/30/2024,Sobeys BCH,4501.0,672,USD 16000.32,01/02/2025,"23,144.46",0.00,"23,144.46",Claudia Ramirez,"26,874.53","1,423.89",01/07/2025,Net 30,,United States Dollar,"Montreal, QC H1G 3J5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"23,144.46",0.0,"23,144.46",Sobeys BCH,0.0,USD 0.00,4566983156,,SZLU9304368
Loading,No,4503,12/30/2024,"Chiovitti Banana Co., Ltd",4503.0,960,USD 23385.60,01/04/2025,"33,827.27","33,827.27",0.00,Claudia Ramirez,0.00,0.00,,Net 30,,United States Dollar,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"33,827.27",0.0,"33,827.27","Chiovitti Banana Co., Ltd",0.0,USD 0.00,250115,,SMLU5452422
Delivered,Yes,4491,12/27/2024,Costco Vaughan Wet,4491.0,900,USD 24093.00,12/30/2024,"34,850.52",0.00,"34,850.52",Claudia Ramirez,"35,992.67","1,906.99",01/05/2025,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,005721217154,,
Delivered,Yes,4499,12/27/2024,Top Banana,4499.0,900,USD 22788.00,12/30/2024,"32,962.84",0.00,"32,962.84",Claudia Ramirez,"35,992.67","1,906.99",01/05/2025,Net 30,,United States Dollar,"415 NYC Terminal Market, Bronx, NY 10474. United States","415 NYC Terminal Market, Bronx, NY 10474. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"32,962.84",0.0,"32,962.84",Top Banana,0.0,USD 0.00,123024,,SUDU8047385
Delivered,Yes,4450,12/27/2024,Costco Varennes,4450.0,900,USD 24093.00,12/30/2024,"34,850.52",0.00,"34,850.52",Claudia Ramirez,"35,992.67","1,906.99",01/05/2025,Net 30,,United States Dollar,"3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Varennes,0.0,USD 0.00,005741217160,,
Delivered,Yes,4490,12/27/2024,Costco Vaughan Wet,4490.0,900,USD 24093.00,12/30/2024,"34,850.52",0.00,"34,850.52",Claudia Ramirez,"35,992.67","1,906.99",01/05/2025,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,850.52",0.0,"34,850.52",Costco Vaughan Wet,0.0,USD 0.00,005721217159,,
