Status,job,Supplier,Customer,Expense,Income,Profit,Customer:Account Number,Date,Due Date,End Date,Employee
Closed,1910,ASOGUABO,Costco Vaughan Wet,23838.07,27562.8,3724.73,C00006/004,12/16/2021,1/7/2022,11/9/2022,Amandine Hance
Closed,1911,ASOGUABO,Costco Vaughan Wet,23782.07,27562.79,3780.72,C00006/004,12/21/2021,1/10/2022,11/9/2022,Amandine Hance
Closed,1912,ASOGUABO,MIXED Chiov Gambles,24127.73,28201.22,4073.49,,12/21/2021,1/6/2022,11/9/2022,Amandine Hance
Closed,1913,ASOGUABO,"Chiovitti Banana Co., Ltd",22722.91,23789.38,1066.47,C00004,12/21/2021,1/4/2022,11/9/2022,Amandine Hance
Closed,1914,ASOGUABO,SPLIT: BCH + Cola,27453.85,30127.25,2673.4,,12/21/2021,1/8/2022,11/9/2022,Amandine Hance
Closed,1915,COQUIMBA,"Chiovitti Banana Co., Ltd",22543.3,23806.22,1262.92,C00004,12/21/2021,1/6/2022,11/9/2022,Amandine Hance
Closed,1916,ASOGUABO,Courchesne Larose,24171.9,28439.14,4267.24,C00007,12/21/2021,1/11/2022,11/9/2022,Amandine Hance
Closed,1917,Coliman Pacific Corporation,"Chiovitti Banana Co., Ltd",24934.26,24135.7,-798.56,C00004,12/16/2021,12/17/2021,11/9/2022,Amandine Hance
Closed,1918,APPBOSA,Sobeys BCH,25819.1,31680,5860.9,C00024/001,12/21/2021,1/11/2022,11/9/2022,Amandine Hance
Closed,1919,APPBOSA,Sobeys BCH,27262.64,31680,4417.36,C00024/001,12/21/2021,2/4/2022,11/9/2022,Amandine Hance
Closed,1920,ASOGUABO,MIXED Chiov Gambles,23842.18,27844.93,4002.75,,12/21/2021,1/8/2022,11/9/2022,Amandine Hance
Closed,1921,ASOGUABO,Costco Vaughan Wet,23503.77,30404.31,6900.54,C00006/004,12/20/2021,1/14/2022,11/9/2022,Amandine Hance
Closed,1922,COQUIMBA,"Chiovitti Banana Co., Ltd",29342.56,26898.77,-2443.79,C00004,12/20/2021,1/18/2022,11/9/2022,Amandine Hance
Closed,1923,ASOGUABO,"Chiovitti Banana Co., Ltd",22613.83,23710.75,1096.92,C00004,12/20/2021,1/8/2022,11/9/2022,Amandine Hance
Closed,1924,C.I. AGRICOLAS LAS FLORES S.A.S.,Sobeys BCH,25515.76,26928,1412.24,C00024/001,12/20/2021,1/12/2022,11/9/2022,Amandine Hance
Closed,1925,ASOGUABO,MIXED Chiov Gambles,24167.57,29865.91,5698.34,,12/20/2021,1/11/2022,11/9/2022,Amandine Hance
Closed,1926,Coliman Pacific Corporation,Courchesne Larose,31868.84,30710.16,-1158.68,C00007,12/20/2021,1/14/2022,11/9/2022,Amandine Hance
Closed,1927,ASOGUABO,Costco Vaughan Wet,23774.01,30404.31,6630.3,C00006/004,12/20/2021,1/14/2022,11/9/2022,Amandine Hance
Closed,1928,Coliman Pacific Corporation,MIXED Chiov Gambles,30697.33,30155.57,-541.76,,12/15/2021,1/15/2022,11/9/2022,Amandine Hance
Closed,1929,COQUIMBA,"Chiovitti Banana Co., Ltd",23343.09,26881.55,3538.46,C00004,12/15/2021,1/12/2022,11/9/2022,Amandine Hance
Closed,1930,ASOGUABO,Costco Vaughan Wet,26110.8,30748.59,4637.79,C00006/004,12/15/2021,1/20/2022,11/9/2022,Amandine Hance
Closed,1931,ASOGUABO,"Chiovitti Banana Co., Ltd",22794.68,27012.9,4218.22,C00004,12/15/2021,1/13/2022,11/9/2022,Amandine Hance
Closed,1932,ASOGUABO,Costco Vaughan Wet,26100.37,30748.59,4648.22,C00006/004,12/15/2021,1/21/2022,11/9/2022,Amandine Hance
Closed,1933,APPBOSA,Sobeys BCH,26207.23,31680,5472.77,C00024/001,12/15/2021,1/20/2022,11/9/2022,Amandine Hance
Closed,1934,APPBOSA,Courchesne Larose,26869.08,6093.6,-20775.48,C00007,12/15/2021,2/17/2022,11/9/2022,Amandine Hance
Closed,1935,ASOGUABO,MIXED Chiov Gambles,26907.87,30269.79,3361.92,,12/15/2021,1/19/2022,11/9/2022,Amandine Hance
Closed,1936,ASOGUABO,"Chiovitti Banana Co., Ltd",22605.67,26585.01,3979.34,C00004,12/15/2021,1/17/2022,11/9/2022,Amandine Hance
Closed,1937,Coliman Pacific Corporation,Sobeys BCH,31690.48,31680,-10.48,C00024/001,12/23/2021,1/14/2022,11/9/2022,Amandine Hance
Closed,1938,Coliman Pacific Corporation,Courchesne Larose,28399.55,29137.44,737.89,C00007,12/23/2021,1/19/2022,11/9/2022,Amandine Hance
Closed,1939,ASOGUABO,MIXED Chiov Gambles,27310,29996.31,2686.31,,12/23/2021,1/19/2022,11/9/2022,Amandine Hance
Closed,1940,COQUIMBA,"Chiovitti Banana Co., Ltd",25335.04,27251.91,1916.87,C00004,12/23/2021,1/25/2022,11/9/2022,Amandine Hance
Closed,1941,ASOGUABO,Costco Vaughan Wet,26893.5,30714.89,3821.39,C00006/004,12/23/2021,2/3/2022,11/9/2022,Amandine Hance
Closed,1942,ASOGUABO,Costco Vaughan Wet,26903.9,30714.89,3810.99,C00006/004,12/23/2021,2/3/2022,11/9/2022,Amandine Hance
Closed,1943,ASOGUABO,"Chiovitti Banana Co., Ltd",24426.48,27012.9,2586.42,C00004,12/23/2021,1/22/2022,11/9/2022,Amandine Hance
Closed,1944,C.I. AGRICOLAS LAS FLORES S.A.S.,Courchesne Larose,26155.25,31118.98,4963.73,C00007,12/23/2021,1/27/2022,11/9/2022,Amandine Hance
Closed,1945,Coliman Pacific Corporation,MIXED Chiov Gambles,29976.27,30340.43,364.16,,12/23/2021,1/24/2022,11/9/2022,Amandine Hance
Closed,1946,ASOGUABO,"Chiovitti Banana Co., Ltd",24204.03,26944.8,2740.77,C00004,12/23/2021,1/26/2022,11/9/2022,Amandine Hance
Closed,1947,ASOGUABO,MIXED Chiov Gambles,27310.14,30557,3246.86,,12/30/2021,1/27/2022,11/9/2022,Amandine Hance
Closed,1948,APPBOSA,Sobeys BCH,27413.39,31680,4266.61,C00024/001,12/30/2021,1/27/2022,11/9/2022,Amandine Hance
Closed,1949,ASOGUABO,Costco Vaughan Wet,27731.43,30666.74,2935.31,C00006/004,12/30/2021,2/10/2022,11/9/2022,Amandine Hance
Closed,1950,COQUIMBA,"Chiovitti Banana Co., Ltd",26260.67,27501.69,1241.02,C00004,12/30/2021,1/29/2022,11/9/2022,Amandine Hance
Closed,1951,ASOGUABO,Costco Vaughan Wet,27287.72,30666.74,3379.02,C00006/004,12/30/2021,2/12/2022,11/9/2022,Amandine Hance
Closed,1952,ASOGUABO,Sobeys BCH,27792.68,31680,3887.32,C00024/001,12/30/2021,1/26/2022,11/9/2022,Amandine Hance
Closed,1953,Coliman Pacific Corporation,MIXED Chiov Gambles,29674.38,30701.23,1026.85,,12/30/2021,1/31/2022,11/9/2022,Amandine Hance
Closed,1954,ASOGUABO,"Chiovitti Banana Co., Ltd",24856.22,26959.64,2103.42,C00004,12/30/2021,2/1/2022,11/9/2022,Amandine Hance
Closed,1955,APPBOSA,Courchesne Larose,30995.99,12187.2,-18808.79,C00007,12/30/2021,2/17/2022,11/9/2022,Amandine Hance
Closed,1956,ASOGUABO,Courchesne Larose,27155.52,31038.19,3882.67,C00007,1/6/2022,2/3/2022,11/9/2022,Amandine Hance
Closed,1957,ASOGUABO,MIXED Chiov Gambles,27557.7,30664.52,3106.82,,1/6/2022,2/3/2022,11/9/2022,Amandine Hance
Closed,1958,C.I. AGRICOLAS LAS FLORES S.A.S.,SPLIT: BCH + Cola,26451.52,31472.93,5021.41,,1/6/2022,1/29/2022,11/9/2022,Amandine Hance
Closed,1959,ASOGUABO,MIXED Chiov Gambles,28033.87,30484.89,2451.02,,1/6/2022,2/10/2022,11/9/2022,Amandine Hance
Closed,1960,COQUIMBA,"Chiovitti Banana Co., Ltd",25382.39,27301.44,1919.05,C00004,1/6/2022,2/3/2022,11/9/2022,Amandine Hance
Closed,1961,ASOGUABO,"Chiovitti Banana Co., Ltd",24545.94,27471.55,2925.61,C00004,1/6/2022,2/5/2022,11/9/2022,Amandine Hance
Closed,1962,ASOGUABO,Sobeys BCH,27726.43,31680,3953.57,C00024/001,1/7/2022,2/9/2022,11/9/2022,Amandine Hance
Closed,1963,C.I. AGRICOLAS LAS FLORES S.A.S.,Sobeys BCH,26461.65,31680,5218.35,C00024/001,1/13/2022,2/14/2022,11/9/2022,Amandine Hance
Closed,1964,Coliman Pacific Corporation,MIXED Chiov Gambles,30109.38,30631.52,522.14,,1/13/2022,2/14/2022,11/9/2022,Amandine Hance
Closed,1965,ASOGUABO,Costco Vaughan Wet,26699.35,30657.11,3957.76,C00006/004,1/13/2022,2/11/2022,11/9/2022,Amandine Hance
Closed,1966,COQUIMBA,"Chiovitti Banana Co., Ltd",25395.51,27350.96,1955.45,C00004,1/13/2022,2/12/2022,11/9/2022,Amandine Hance
Closed,1967,ASOGUABO,Costco Vaughan Wet,26387.72,30657.11,4269.39,C00006/004,1/13/2022,2/15/2022,11/9/2022,Amandine Hance
Closed,1968,ASOGUABO,"Chiovitti Banana Co., Ltd",25370.81,27279.45,1908.64,C00004,1/13/2022,2/10/2022,11/9/2022,Amandine Hance
Closed,1969,ASOGUABO,Courchesne Larose,26916.06,31182.62,4266.56,C00007,1/13/2022,2/15/2022,11/9/2022,Amandine Hance
Closed,1970,ASOGUABO,MIXED Chiov Gambles,27322.04,30720.15,3398.11,,1/13/2022,2/12/2022,11/9/2022,Amandine Hance
Closed,1971,ASOGUABO,"Chiovitti Banana Co., Ltd",24657.84,27316.51,2658.67,C00004,1/13/2022,2/16/2022,11/9/2022,Amandine Hance
Closed,1972,ASOGUABO,Sobeys BCH,28930.96,31680,2749.04,C00024/001,1/13/2022,2/10/2022,11/9/2022,Amandine Hance
Closed,1973,ASOGUABO,"Chiovitti Banana Co., Ltd",24940.48,27385.42,2444.94,C00004,1/13/2022,2/22/2022,11/9/2022,Amandine Hance
Closed,1974,APPBOSA,Sobeys BCH,27886.54,31680,3793.46,C00024/001,1/13/2022,2/24/2022,11/9/2022,Amandine Hance
Closed,1975,ASOGUABO,MIXED Chiov Gambles,27708.43,30490,2781.57,,1/13/2022,2/17/2022,11/9/2022,Amandine Hance
Closed,1976,COQUIMBA,"Chiovitti Banana Co., Ltd",25298.47,27385.42,2086.95,C00004,1/13/2022,2/22/2022,11/9/2022,Amandine Hance
Closed,1977,ASOGUABO,Costco Vaughan Wet,27398.64,30893.04,3494.4,C00006/004,1/13/2022,2/24/2022,11/9/2022,Amandine Hance
Closed,1978,C.I. AGRICOLAS LAS FLORES S.A.S.,Courchesne Larose,26208.67,31133.66,4924.99,C00007,1/13/2022,2/18/2022,11/9/2022,Amandine Hance
Closed,1979,APPBOSA,Courchesne Larose,27687.12,31412.74,3725.62,C00007,2/9/2022,2/28/2022,11/9/2022,Jennie Coleman
Closed,1980,ASOGUABO,"Chiovitti Banana Co., Ltd",24924.49,27356.89,2432.4,C00004,1/26/2022,2/18/2022,11/9/2022,Amandine Hance
Closed,1981,ASOGUABO,Costco Vaughan Wet,27933.16,30570.44,2637.28,C00006/004,1/13/2022,2/18/2022,11/9/2022,Amandine Hance
Closed,1982,ASOGUABO,"Chiovitti Banana Co., Ltd",28238.72,31133.66,2894.94,C00004,1/20/2022,2/22/2022,11/9/2022,Amandine Hance
Closed,1983,Coliman Pacific Corporation,MIXED Chiov Gambles,30523.07,30571.42,48.35,,1/20/2022,2/21/2022,11/9/2022,Amandine Hance
Closed,1984,Coliman Pacific Corporation,Courchesne Larose,32403.27,18402.63,-14000.64,C00007,1/20/2022,2/7/2022,11/9/2022,Jennie Coleman
Closed,1985,Coliman Pacific Corporation,Courchesne Larose,31536.62,20073.6,-11463.02,C00007,1/25/2022,3/7/2022,4/5/2024,Jennie Coleman
Closed,1986,ASOGUABO,Costco Vaughan Wet,27117.5,29108.11,1990.61,C00006/004,1/26/2022,2/22/2022,11/9/2022,Jennie Coleman
Closed,1987,Coliman Pacific Corporation,Sobeys BCH,31632.43,31680,47.57,C00024/001,1/26/2022,2/19/2022,11/9/2022,Jennie Coleman
Closed,1988,COQUIMBA,"Chiovitti Banana Co., Ltd",25020.07,27630.89,2610.82,C00004,1/26/2022,2/25/2022,11/9/2022,Jennie Coleman
Closed,1989,C.I. AGRICOLAS LAS FLORES S.A.S.,MIXED Chiov Gambles,27616.97,31412.73,3795.76,,1/26/2022,2/25/2022,11/9/2022,Jennie Coleman
Closed,1990,ASOGUABO,"Chiovitti Banana Co., Ltd",25340.11,27630.89,2290.78,C00004,1/26/2022,3/4/2022,11/9/2022,Jennie Coleman
Closed,1991,ASOGUABO,"Chiovitti Banana Co., Ltd",24146.53,27630.89,3484.36,C00004,1/26/2022,3/3/2022,11/9/2022,Jennie Coleman
Closed,1992,ASOGUABO,Costco Vaughan Wet,28014.71,30695.63,2680.92,C00006/004,1/26/2022,3/2/2022,11/9/2022,Jennie Coleman
Closed,1993,ASOGUABO,Costco Vaughan Wet,27799.35,30695.63,2896.28,C00006/004,1/26/2022,3/4/2022,11/9/2022,Jennie Coleman
Closed,1994,ASOGUABO,Costco Vaughan Wet,27309.48,30695.63,3386.15,C00006/004,1/26/2022,3/5/2022,11/9/2022,Jennie Coleman
Closed,1995,ASOGUABO,MIXED Chiov Gambles,28111.92,31034.55,2922.63,,1/26/2022,3/3/2022,11/9/2022,Jennie Coleman
Closed,1996,ASOGUABO,MIXED Chiov Gambles,26969.48,30322.28,3352.8,,1/26/2022,3/7/2022,11/9/2022,Jennie Coleman
Closed,1997,APPBOSA,Courchesne Larose,27492.25,31133.66,3641.41,C00007,1/26/2022,2/23/2022,11/9/2022,Jennie Coleman
Closed,1998,Coliman Pacific Corporation,Sobeys BCH,31588.35,31680,91.65,C00024/001,1/31/2022,2/22/2022,11/9/2022,Jennie Coleman
Closed,1999,ASOGUABO,Costco Vaughan Wet,32175.82,30760.63,-1415.19,C00006/004,2/2/2022,3/11/2022,11/9/2022,Jennie Coleman
Closed,2000,ASOGUABO,Sobeys BCH,27524.88,31680,4155.12,C00024/001,2/2/2022,3/3/2022,11/9/2022,Jennie Coleman
Closed,2001,COQUIMBA,"Chiovitti Banana Co., Ltd",27654.53,27790.01,135.48,C00004,2/2/2022,3/10/2022,11/9/2022,Jennie Coleman
Closed,2002,APPBOSA,Courchesne Larose,27438.02,31412.74,3974.72,C00007,2/2/2022,3/2/2022,11/9/2022,Jennie Coleman
Closed,2003,ASOGUABO,Costco Vaughan Wet,27846.89,30760.63,2913.74,C00006/004,2/2/2022,3/4/2022,11/9/2022,Jennie Coleman
Closed,2004,ASOGUABO,MIXED Chiov Gambles,27301.96,30713.25,3411.29,,2/2/2022,3/14/2022,11/9/2022,Jennie Coleman
Closed,2005,ASOGUABO,Costco Vaughan Wet,27862.7,30375.43,2512.73,C00006/004,2/2/2022,3/12/2022,11/9/2022,Jennie Coleman
Closed,2006,ASOGUABO,"Chiovitti Banana Co., Ltd",24704.61,27512.46,2807.85,C00004,2/2/2022,3/14/2022,11/9/2022,Jennie Coleman
Closed,2007,C.I. AGRICOLAS LAS FLORES S.A.S.,Sobeys BCH,21415.66,23793,2377.34,C00024/001,2/2/2022,3/7/2022,11/9/2022,Jennie Coleman
Closed,2008,APPBOSA,Courchesne Larose,27737.27,31212,3474.73,C00007,2/2/2022,3/5/2022,11/9/2022,Jennie Coleman
Closed,2009,COQUIMBA,"Chiovitti Banana Co., Ltd",25359.18,27454.32,2095.14,C00004,2/4/2022,3/5/2022,11/9/2022,Jennie Coleman
Closed,2010,Coliman Pacific Corporation,"Chiovitti Banana Co., Ltd",27825.41,27630.89,-194.52,C00004,2/4/2022,3/1/2022,11/9/2022,Jennie Coleman
Closed,2011,ASOGUABO,"Chiovitti Banana Co., Ltd",25975.75,27630.89,1655.14,C00004,2/4/2022,3/4/2022,11/9/2022,Jennie Coleman
Closed,2012,Coliman Pacific Corporation,MIXED Chiov Gambles,30445.81,31412.73,966.92,,2/9/2022,2/28/2022,11/9/2022,Jennie Coleman
Closed,2013,Coliman Pacific Corporation,Sobeys BCH,31772.73,31680,-92.73,C00024/001,2/9/2022,3/1/2022,11/9/2022,Jennie Coleman
Closed,2014,ASOGUABO,Costco Vaughan Wet,28577.79,30760.63,2182.84,C00006/004,2/9/2022,3/8/2022,11/9/2022,Jennie Coleman
Closed,2015,ASOGUABO,Courchesne Larose,28007.08,31278.1,3271.02,C00007,2/9/2022,3/9/2022,11/9/2022,Jennie Coleman
Closed,2016,ASOGUABO,MIXED Chiov Gambles,29001.71,30901.54,1899.83,,2/9/2022,3/12/2022,11/9/2022,Jennie Coleman
Closed,2017,ASOGUABO,Costco Vaughan Wet,28049.35,30375.43,2326.08,C00006/004,2/9/2022,3/14/2022,11/9/2022,Jennie Coleman
Closed,2018,C.I. AGRICOLAS LAS FLORES S.A.S.,Sobeys BCH,27364.7,31680,4315.3,C00024/001,2/9/2022,3/12/2022,11/9/2022,Jennie Coleman
Closed,2019,COQUIMBA,"Chiovitti Banana Co., Ltd",23960.29,27512.46,3552.17,C00004,2/9/2022,3/11/2022,11/9/2022,Jennie Coleman
Closed,2020,APPBOSA,Sobeys BCH,27855.55,31680,3824.45,C00024/001,2/9/2022,3/14/2022,11/9/2022,Jennie Coleman
Closed,2021,APPBOSA,Sobeys BCH,28210.81,31680,3469.19,C00024/001,2/9/2022,3/17/2022,11/9/2022,Jennie Coleman
Closed,2022,ASOGUABO,Courchesne Larose,27864.65,31278.1,3413.45,C00007,2/16/2022,3/12/2022,11/9/2022,Jennie Coleman
Closed,2023,ASOGUABO,Costco Vaughan Wet,28342.69,30192.46,1849.77,C00006/004,2/17/2022,3/23/2022,11/9/2022,Michelle Gubbels
Closed,2024,ASOGUABO,"Chiovitti Banana Co., Ltd",26146.44,27167.93,1021.49,C00004,2/17/2022,3/16/2022,11/9/2022,Michelle Gubbels
Closed,2025,ASOGUABO,Courchesne Larose,28168.68,30622.83,2454.15,C00007,2/17/2022,3/22/2022,11/9/2022,Michelle Gubbels
Closed,2026,COQUIMBA,"Chiovitti Banana Co., Ltd",26095.51,27167.94,1072.43,C00004,2/17/2022,3/19/2022,11/9/2022,Jennie Coleman
Closed,2027,C.I. AGRICOLAS LAS FLORES S.A.S.,Courchesne Larose,26773.49,30886.42,4112.93,C00007,2/17/2022,3/18/2022,11/9/2022,Michelle Gubbels
Closed,2028,COQUIMBA,"Chiovitti Banana Co., Ltd",26167.8,27105.49,937.69,C00004,2/17/2022,3/22/2022,11/9/2022,Jennie Coleman
Closed,2029,ASOGUABO,Costco Vaughan Wet,27715.98,30375.43,2659.45,C00006/004,2/17/2022,3/16/2022,11/9/2022,Michelle Gubbels
Closed,2030,ASOGUABO,"Chiovitti Banana Co., Ltd",24033.87,26800.03,2766.16,C00004,2/17/2022,3/17/2022,11/9/2022,Michelle Gubbels
Closed,2031,ASOGUABO,Costco Vaughan Wet,27897.12,27955.08,57.96,C00006/004,2/17/2022,3/21/2022,11/9/2022,Michelle Gubbels
Closed,2032,ASOGUABO,MIXED Chiov Gambles,28851.99,30629.92,1777.93,,2/17/2022,3/21/2022,11/9/2022,Michelle Gubbels
Closed,2033,APPBOSA,Sobeys BCH,28571.36,31680,3108.64,C00024/001,2/17/2022,3/21/2022,11/9/2022,Michelle Gubbels
Closed,2034,APPBOSA,MIXED Chiov Gambles,28419.03,30815.42,2396.39,,2/17/2022,3/19/2022,11/9/2022,Jennie Coleman
Closed,2035,Coliman Pacific Corporation,MIXED Chiov Gambles,30324.66,30253.37,-71.29,,2/18/2022,3/25/2022,11/9/2022,Michelle Gubbels
Closed,2036,ASOGUABO,Costco Vaughan Wet,27318.81,30192.46,2873.65,C00006/004,2/23/2022,3/25/2022,11/9/2022,Jennie Coleman
Closed,2037,ASOGUABO,"Chiovitti Banana Co., Ltd",26133.46,27105.49,972.03,C00004,2/23/2022,3/24/2022,11/9/2022,Jennie Coleman
Closed,2038,C.I. AGRICOLAS LAS FLORES S.A.S.,Sobeys BCH,27125.31,31680,4554.69,C00024/001,2/23/2022,3/24/2022,11/9/2022,Jennie Coleman
Closed,2039,COQUIMBA,"Chiovitti Banana Co., Ltd",25226.06,26935.38,1709.32,C00004,2/23/2022,3/25/2022,11/9/2022,Jennie Coleman
Closed,2040,ASOGUABO,Costco Vaughan Wet,27812.58,30115.42,2302.84,C00006/004,2/23/2022,3/25/2022,11/9/2022,Jennie Coleman
Closed,2041,ASOGUABO,Costco Vaughan Wet,27459.14,30021.53,2562.39,C00006/004,2/23/2022,3/28/2022,11/9/2022,Jennie Coleman
Closed,2042,ASOGUABO,"Chiovitti Banana Co., Ltd",25585.63,26935.38,1349.75,C00004,2/23/2022,3/29/2022,11/9/2022,Jennie Coleman
Closed,2043,ASOGUABO,MIXED Chiov Gambles,28974.28,30437.7,1463.42,,2/23/2022,3/28/2022,11/9/2022,Jennie Coleman
Closed,2044,APPBOSA,Sobeys BCH,28770.01,31680,2909.99,C00024/001,2/23/2022,3/28/2022,11/9/2022,Jennie Coleman
Closed,2045,APPBOSA,Courchesne Larose,28762.09,30622.03,1859.94,C00007,2/23/2022,3/26/2022,11/9/2022,Jennie Coleman
Closed,2046,ASOGUABO,Costco Vaughan Wet,28221.05,30069.68,1848.63,C00006/004,3/2/2022,4/4/2022,11/9/2022,Jennie Coleman
