Status,Number,Seller,Carrier,Amount,Quantity,Invoiced,Departure Date,Arrival Date,Port of Arrival,Shipping Date,ISF,Amount (CAD),Unbilled Balance (CAD),Unpaid Balance (CAD),Temperature,Job:Expense,Job:Income,Received Quantity,Date,Employee,Job,Weight (lb),Volume (ft³),Approved Date,Payment Terms,Incoterms,Seller Address,Exchange Rate,Reverse Exchange Rate,Paid,Amt. Before Tax (CAD),Items Amount (CAD),Pallets,Ventilation,Container#,Bill of Lading,Canadian Customs,Job:Due Date,Cornerboards Packaging,Port of Loading,Customs Clearance
Open,4624,ASOGUABO,Seaboard,USD 12645.00,900,No,1/17/25,1/26/25,Philadelphia,2/9/25,<none>,"18,259.38","18,259.38",0,13.9,"18,259.38",0,0.0,1/8/25,David Melo,4624.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.44,No,"18,259.38","18,259.38",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico reciclado,Guayaquil,
Open,4627,PRIECOR S.A.,Maersk,USD 12690.00,900,No,1/18/25,2/3/25,Philadelphia,2/10/25,<none>,"18,324.36","18,324.36",0,13.9,"18,324.36",0,0.0,1/8/25,David Melo,4627.0,"35,991.00","1,908.00",,Due on receipt,FOB,"Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador",0.69,1.44,No,"18,324.36","18,324.36",Walk Global/Escobar,25.0,,MAEU248914830,<none>,1/8/25,Plastico,Puerto Bolivar,
Open,4621,Surgesa S.A.,ONE,USD 13095.00,900,No,1/18/25,1/29/25,Philadelphia,2/7/25,<none>,"18,909.18","18,909.18",0,13.9,"18,909.18",0,0.0,1/8/25,David Melo,4621.0,"35,992.67","1,906.99",,,FOB,"Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador",0.69,1.44,No,"18,909.18","18,909.18",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico,Guayaquil,
Open,4620,Surgesa S.A.,ONE,USD 13095.00,900,No,1/18/25,1/29/25,Philadelphia,2/6/25,<none>,"18,909.18","18,909.18",0,13.9,"18,909.18",0,0.0,1/8/25,David Melo,4620.0,"35,992.67","1,906.99",,,FOB,"Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador",0.69,1.44,No,"18,909.18","18,909.18",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico,Guayaquil,
Open,4623,Marplantis Organic Sustainable Agriculture,ZIM,USD 12690.00,900,No,1/19/25,1/31/25,Philadelphia,3/8/25,<none>,"18,324.36","18,324.36",0,13.9,"18,324.36",0,0.0,1/8/25,David Melo,4623.0,"35,992.67","1,906.99",,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.69,1.44,No,"18,324.36","18,324.36",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico,Guayaquil,
Open,4622,Marplantis Organic Sustainable Agriculture,ZIM,USD 12690.00,900,No,1/19/25,1/31/25,Philadelphia,2/7/25,<none>,"18,324.36","18,324.36",0,13.9,"18,324.36",0,0.0,1/8/25,David Melo,4622.0,"35,992.67","1,906.99",,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.69,1.44,No,"18,324.36","18,324.36",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico,Guayaquil,
On Hand,4619,Marplantis Organic Sustainable Agriculture,Maersk,USD 13392.00,960,No,1/11/25,1/27/25,Philadelphia,2/3/25,Yes,"19,217.52","19,217.52",0,13.9,"19,217.52",0,960.0,1/7/25,David Melo,4619.0,"38,390.40",0,,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.7,1.44,No,"19,217.52","19,217.52",Tipo CHEP,25.0,,MAEU248855733,<none>,1/7/25,Plastico,Puerto Bolivar,
On Hand,4618,Marplantis Organic Sustainable Agriculture,Maersk,USD 13392.00,960,No,1/11/25,1/27/25,Philadelphia,2/3/25,Yes,"19,217.52","19,217.52",0,13.9,"19,217.52",0,960.0,1/7/25,David Melo,4618.0,"38,390.40",0,,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.7,1.44,No,"19,217.52","19,217.52",Tipo CHEP,25.0,,MAEU248855719,<none>,1/7/25,Plastico,Puerto Bolivar,
On Hand,4617,Marplantis Organic Sustainable Agriculture,ZIM,USD 12690.00,900,No,1/12/25,1/24/25,Philadelphia,2/6/25,Yes,"18,210.15","18,210.15",0,13.9,"18,210.15",0,900.0,1/7/25,David Melo,4617.0,"35,992.67","1,906.99",,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.7,1.44,No,"18,210.15","18,210.15",Walk Global/Escobar,25.0,,ZIMUGYL00014176,<none>,1/7/25,Plastico,Guayaquil,
On Hand,4616,Marplantis Organic Sustainable Agriculture,Maersk,USD 12690.00,900,No,1/11/25,2/27/25,Philadelphia,2/5/25,Yes,"18,210.15","18,210.15",0,13.9,"18,210.15",0,900.0,1/7/25,David Melo,4616.0,"35,992.67","1,906.99",,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.7,1.44,No,"18,210.15","18,210.15",Walk Global/Escobar,25.0,,MAEU248854769,<none>,1/7/25,Plastico,Puerto Bolivar,
On Hand,4615,Hacienda Celia María C.A.,Maersk,USD 12807.00,900,No,1/11/25,1/27/25,Philadelphia,2/4/25,Yes,"18,378.04","18,378.04",0,13.9,"18,378.04",0,900.0,1/7/25,David Melo,4615.0,0,"1,908.00",,,FOB,"Luque 127 y Pedro Carbo, Guayaquil, Ecuador",0.7,1.44,No,"18,378.04","18,378.04",Walk Global/Escobar,25.0,,MAEU248854739,<none>,1/7/25,Plastico,Puerto Bolivar,
Open,4614,C.I. AGRICOLAS LAS FLORES S.A.S.,Seaboard,USD 13536.00,960,No,1/18/25,1/28/25,Philadelphia,2/4/25,<none>,"19,579.82","19,579.82",0,13.9,"19,579.82",0,0.0,12/31/24,David Melo,4614.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.45,No,"19,579.82","19,579.82",Chep,25.0,,,<none>,12/31/24,Carton,Guayaquil,
Open,4613,C.I. AGRICOLAS LAS FLORES S.A.S.,Seaboard,USD 13536.00,960,No,1/18/25,1/28/25,Philadelphia,2/3/25,<none>,"19,579.82","19,579.82",0,13.9,"19,579.82",0,0.0,12/31/24,David Melo,4613.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.45,No,"19,579.82","19,579.82",Chep,25.0,,,<none>,12/31/24,Carton,Guayaquil,
Open,4610,Coliman Pacific Corporation,,USD 12600.00,720,No,2/1/25,2/4/25,,2/4/25,<none>,"18,225.90","18,225.90",0,13.9,"18,225.90",0,0.0,12/31/24,David Melo,4610.0,"28,794.14","1,525.59",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"18,225.90","18,225.90",Chep,25.0,,,<none>,12/31/24,Plastico,"Nogales, Arizona",
Open,4609,Coliman Pacific Corporation,,USD 15975.00,900,No,2/3/25,2/3/25,,2/3/25,<none>,"23,107.84","23,107.84",0,13.9,"23,107.84",0,0.0,12/31/24,David Melo,4609.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"23,107.84","23,107.84",Chep,25.0,,,<none>,12/31/24,Plastico,"Nogales, Arizona",
Open,4612,Marplantis Organic Sustainable Agriculture,Maersk,USD 12690.00,900,No,1/18/25,2/3/25,Philadelphia,3/12/25,Yes,"18,356.09","18,356.09",0,13.9,"18,356.09",0,0.0,12/31/24,David Melo,4612.0,"35,992.67","1,906.99",,Net 10,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.69,1.45,No,"18,356.09","18,356.09",Walk Global/Escobar,25.0,,MAEU249009931,<none>,12/31/24,Plastico,Puerto Bolivar,
On Hand,4608,ASOGUABO,Seaboard,USD 13344.00,960,No,1/10/25,1/19/25,Philadelphia,1/31/25,Yes,"19,302.10","19,302.10",0,13.9,"19,302.10",0,960.0,12/31/24,David Melo,4608.0,"38,392.18","2,034.12",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,No,"19,302.10","19,302.10",Tipo CHEP,25.0,SMLU5465414,SMLU8401028A,<none>,12/31/24,Plastico reciclado,Guayaquil,
On Hand,4607,ASOGUABO,Dole Shipping,USD 12645.00,900,No,1/10/25,1/19/25,San Diego,2/4/25,Yes,"18,290.99","18,290.99",0,13.9,"18,290.99",0,900.0,12/31/24,David Melo,4607.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,No,"18,290.99","18,290.99",Walk Global/Escobar,25.0,CAAU4104110,DOLQGYQF9229SD,<none>,12/31/24,Plastico reciclado,Guayaquil,
On Hand,4606,ASOGUABO,ZIM,USD 12645.00,900,No,1/12/25,1/24/25,Philadelphia,2/3/25,No,"18,290.99","18,290.99",0,13.9,"18,290.99",0,900.0,12/31/24,David Melo,4606.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,No,"18,290.99","18,290.99",Walk Global/Escobar,25.0,,ZIMUGYL00014121,<none>,12/31/24,Plastico reciclado,Guayaquil,
On Hand,4605,ASOGUABO,Dole Shipping,USD 12645.00,900,No,1/10/25,1/19/25,San Diego,1/30/25,Yes,"18,290.99","18,290.99",0,13.9,"18,290.99",0,900.0,12/31/24,David Melo,4605.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,No,"18,290.99","18,290.99",Walk Global/Escobar,25.0,TEXU9523830,DOLQGYQF9228SD,<none>,12/31/24,Plastico reciclado,Guayaquil,
On Hand,4604,ASOGUABO,Seaboard,USD 12645.00,900,No,1/10/25,1/19/25,Philadelphia,2/3/25,Yes,"18,290.99","18,290.99",0,13.9,"18,290.99",0,900.0,12/31/24,David Melo,4604.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,No,"18,290.99","18,290.99",Walk Global/Escobar,25.0,SMLU5454111,SMLU8401021A,<none>,12/31/24,Plastico reciclado,Guayaquil,
On Hand,4611,PRIECOR S.A.,Maersk,USD 12690.00,900,No,1/11/25,1/27/25,Philadelphia,2/5/25,Yes,"18,356.09","18,356.09",0,13.9,"18,356.09",0,900.0,12/31/24,David Melo,4611.0,"35,991.00","1,908.00",,Due on receipt,FOB,"Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador",0.69,1.45,No,"18,356.09","18,356.09",Walk Global/Escobar,25.0,,MAEU248851051,<none>,12/31/24,Plastico,Puerto Bolivar,
Open,4601,Coliman Pacific Corporation,,USD 16800.00,960,No,1/25/25,1/29/25,,1/29/25,<none>,"24,301.20","24,301.20",0,13.9,"24,301.20",0,0.0,12/30/24,David Melo,4601.0,"38,392.18","2,034.12",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"24,301.20","24,301.20",Chep,25.0,,,<none>,12/30/24,Plastico,"Pharr, Texas",
Open,4603,Coliman Pacific Corporation,,USD 15975.00,900,No,1/29/25,1/2/25,,2/2/25,<none>,"23,107.84","23,107.84",0,13.9,"23,107.84",0,0.0,12/30/24,David Melo,4603.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"23,107.84","23,107.84",Chep,25.0,,,<none>,12/30/24,Plastico,"Pharr, Texas",
Open,4602,Coliman Pacific Corporation,,USD 15975.00,900,No,1/27/25,1/31/25,,1/31/25,<none>,"23,107.84","23,107.84",0,13.9,"23,107.84",0,0.0,12/30/24,David Melo,4602.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"23,107.84","23,107.84",Chep,25.0,,,<none>,12/30/24,Plastico,"Pharr, Texas",
Open,4600,Coliman Pacific Corporation,,USD 15975.00,900,No,1/27/25,1/31/25,,1/31/25,<none>,"23,107.84","23,107.84",0,13.9,"23,107.84",0,0.0,12/30/24,David Melo,4600.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"23,107.84","23,107.84",Chep,25.0,,,<none>,12/30/24,Plastico,"Pharr, Texas",
Open,4599,Coliman Pacific Corporation,,USD 15975.00,900,No,1/25/25,1/29/25,,1/29/25,<none>,"23,107.84","23,107.84",0,13.9,"23,107.84",0,0.0,12/30/24,David Melo,4599.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"23,107.84","23,107.84",Chep,25.0,,,<none>,12/30/24,Plastico,"Pharr, Texas",
Open,4598,Coliman Pacific Corporation,,USD 15975.00,900,No,1/22/25,1/27/25,,1/27/25,<none>,"23,107.84","23,107.84",0,13.9,"23,107.84",0,0.0,12/30/24,David Melo,4598.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.45,No,"23,107.84","23,107.84",Chep,25.0,,,<none>,12/30/24,Plastico,"Pharr, Texas",
On Hand,4595,C.I. AGRICOLAS LAS FLORES S.A.S.,Dole Shipping,USD 13536.00,960,No,1/11/25,1/19/25,Wilmington,1/30/25,Yes,"19,579.82","19,579.82",0,13.9,"19,579.82",0,960.0,12/30/24,David Melo,4595.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.45,No,"19,579.82","19,579.82",Chep,25.0,,DOLQSMRD4772WL,<none>,12/30/24,Carton,Santa Marta,
On Hand,4593,C.I. AGRICOLAS LAS FLORES S.A.S.,Dole Shipping,USD 13536.00,960,No,1/11/25,1/19/25,Wilmington,1/28/25,Yes,"19,579.82","19,579.82",0,13.9,"19,579.82",0,960.0,12/30/24,David Melo,4593.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.45,No,"19,579.82","19,579.82",Chep,25.0,,DOLQSMRD4771WL,<none>,12/30/24,Carton,Santa Marta,
On Hand,4597,Marplantis Organic Sustainable Agriculture,ZIM,USD 12690.00,900,No,1/12/25,1/28/25,Halifax,1/31/25,No,"18,356.09","18,356.09",0,13.9,"18,356.09",0,900.0,12/30/24,David Melo,4597.0,"35,992.67","1,906.99",,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.69,1.45,No,"18,356.09","18,356.09",Walk Global/Escobar,25.0,ZMOU8826571,ZIMUGYL00014087,<none>,12/30/24,Plastico,Guayaquil,
On Hand,4596,Marplantis Organic Sustainable Agriculture,ZIM,USD 12690.00,900,No,1/12/25,1/28/25,Halifax,2/1/25,No,"18,356.09","18,356.09",0,13.9,"18,356.09",0,900.0,12/30/24,David Melo,4596.0,"35,992.67","1,906.99",,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.69,1.45,No,"18,356.09","18,356.09",Walk Global/Escobar,25.0,ZCLU9952001,ZIMUGYL00014084,<none>,12/30/24,Plastico,Guayaquil,
On Hand,4591,ASOGUABO,ZIM,USD 13747.20,960,Yes,1/5/25,1/21/25,Halifax,1/27/25,Yes,"19,885.32",0,0,13.9,"21,248.33",0,960.0,12/24/24,David Melo,4591.0,"38,392.18","2,034.12",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,Yes,"19,885.32","19,885.32",Tipo CHEP,25.0,GMOU9003455,ZIMUGYL00013980,<none>,12/24/24,Plastico reciclado,Guayaquil,
On Hand,4592,ASOGUABO,Seaboard,USD 13293.00,900,Yes,1/3/25,1/14/25,Philadelphia,1/28/25,Yes,"19,228.32",0,0,13.9,"20,510.45",0,900.0,12/24/24,David Melo,4592.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,Yes,"19,228.32","19,228.32",Walk Global/Escobar,25.0,GCXU8019371,SMLU8391915A,<none>,12/24/24,Plastico reciclado,Guayaquil,
On Hand,4590,ASOGUABO,ZIM,USD 13293.00,900,Yes,1/5/25,1/21/25,Halifax,1/27/25,Yes,"19,228.32",0,0,13.9,"20,510.45",0,900.0,12/24/24,David Melo,4590.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,Yes,"19,228.32","19,228.32",Walk Global/Escobar,25.0,ZMOU8955563,ZIMUGYL00014007,<none>,12/24/24,Plastico reciclado,Guayaquil,
On Hand,4594,ASOGUABO,Dole Shipping,USD 13293.00,900,Yes,1/3/25,1/12/25,San Diego,,Yes,"19,228.32",0,0,13.9,"27,706.55",0,900.0,12/24/24,David Melo,4594.0,"35,992.67","1,906.99",,Due on receipt,,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.45,Yes,"19,228.32","19,228.32",Walk Global/Escobar,25.0,CAAU4100075,DOLQGYQF9102SD,<none>,12/24/24,Plastico,Guayaquil,
On Hand,4589,C.I. AGRICOLAS LAS FLORES S.A.S.,Dole Shipping,USD 13728.00,960,Yes,1/4/25,1/12/25,Wilmington,1/24/25,Yes,"19,802.64",0,0,13.9,"21,281.67",0,960.0,12/22/24,David Melo,4589.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.44,Yes,"19,802.64","19,802.64",Chep,25.0,SZLU9928636,DOLQSMRD4742WL,<none>,12/22/24,Carton,Santa Marta,
On Hand,4576,C.I. AGRICOLAS LAS FLORES S.A.S.,Dole Shipping,USD 13728.00,960,Yes,1/4/25,1/12/25,Wilmington,1/24/25,Yes,"19,802.64",0,0,13.9,"21,281.67",0,960.0,12/22/24,David Melo,4576.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.44,Yes,"19,802.64","19,802.64",Chep,25.0,SEGU9466391,DOLQSMRD4741WL,<none>,12/22/24,Carton,Santa Marta,
Open,4587,Coliman Pacific Corporation,,USD 15975.00,900,No,1/31/25,2/4/25,,1/30/25,<none>,"23,043.94","23,043.94",0,13.9,"23,043.94",0,0.0,12/22/24,David Melo,4587.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"23,043.94","23,043.94",Chep,25.0,,,<none>,12/22/24,Plastico,"Pharr, Texas",
Open,4584,Coliman Pacific Corporation,,USD 15975.00,900,No,1/27/25,1/31/25,,1/27/25,<none>,"23,043.94","23,043.94",0,13.9,"23,043.94",0,0.0,12/22/24,David Melo,4584.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"23,043.94","23,043.94",Chep,25.0,,,<none>,12/22/24,Plastico,"Pharr, Texas",
Open,4586,Coliman Pacific Corporation,,USD 16800.00,960,No,1/25/25,1/28/25,,1/28/25,<none>,"24,234.00","24,234.00",0,13.9,"24,234.00",0,0.0,12/22/24,David Melo,4586.0,"38,392.18","2,034.12",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"24,234.00","24,234.00",Chep,25.0,,,<none>,12/22/24,Plastico,"Nogales, Arizona",
Open,4585,Coliman Pacific Corporation,,USD 15975.00,900,No,1/22/25,1/27/25,,1/27/25,<none>,"23,043.94","23,043.94",0,13.9,"23,043.94",0,0.0,12/22/24,David Melo,4585.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"23,043.94","23,043.94",Chep,25.0,,,<none>,12/22/24,Plastico,"Pharr, Texas",
Open,4583,Coliman Pacific Corporation,,USD 15975.00,900,No,1/21/25,1/26/25,,2/26/25,<none>,"23,043.94","23,043.94",0,13.9,"23,043.94",0,0.0,12/22/24,David Melo,4583.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"23,043.94","23,043.94",Chep,25.0,,,<none>,12/22/24,Plastico,"Pharr, Texas",
Open,4578,Coliman Pacific Corporation,,USD 15975.00,900,No,1/18/25,1/22/25,,1/22/25,<none>,"23,043.94","23,043.94",0,13.9,"23,043.94",0,0.0,12/22/24,David Melo,4578.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"23,043.94","23,043.94",Chep,25.0,,,<none>,12/22/24,Plastico,"Pharr, Texas",
Open,4582,Coliman Pacific Corporation,,USD 16800.00,960,No,1/23/25,1/27/25,,1/18/25,<none>,"24,234.00","24,234.00",0,13.9,"24,234.00",0,0.0,12/22/24,David Melo,4582.0,"38,392.18","2,034.12",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"24,234.00","24,234.00",Chep,25.0,,,<none>,12/22/24,Plastico,"Pharr, Texas",
Open,4581,Coliman Pacific Corporation,,USD 15975.00,900,No,1/18/25,1/23/25,,1/18/25,<none>,"23,043.94","23,043.94",0,13.9,"23,043.94",0,0.0,12/22/24,David Melo,4581.0,"35,992.67","1,906.99",,,FOB,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States",0.69,1.44,No,"23,043.94","23,043.94",Chep,25.0,,,<none>,12/22/24,Plastico,"Pharr, Texas",
