Name,Type,Account Number,Balance (CAD),Currency,Parent Account,Balance,Type Code,Opening Balance Date,Cleared Balance,Reconciliation Date,No Cleared Balance (CAD),No Cleared Balance
Total des avances,Other Current Assets,16010.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Avance à Gestion TBS inc.,Other Current Assets,16005.0,0.00,Canadian Dollar,Avance,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Avance,Other Current Assets,16000.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total des stocks,Other Current Assets,15900.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inventaire T-Shirt,Other Current Assets,15220.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inventaire des transports maritimes,Other Current Assets,15205.0,0.00,Canadian Dollar,Stocks,CAD 0.00,OCASSET,05/30/2022,CAD 0.00,05/30/2022,0.00,CAD 0.00
Stocks,Other Current Assets,15000.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total actifs à court terme,Other Current Assets,12000.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total à recevoir,Other Current Assets,11800.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Souscription à recevoir 1.0,Other Current Assets,11312.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Provision pour créances douteuses,Other Current Assets,11300.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Conversion comptes clients US,Other Current Assets,11025.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total de l'encaisse,Other Current Assets,10900.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Conversion comptant US,Other Current Assets,10500.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Chèques à déposer USD,Other Current Assets,10250.0,0.00,Canadian Dollar,Actifs à court terme,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Chèques à déposer CAD,Other Current Assets,10200.0,0.00,Canadian Dollar,Actifs à court terme,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Petite caisse,Other Current Assets,10100.0,0.00,Canadian Dollar,Actifs à court terme,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Actifs à court terme,Other Current Assets,10000.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inventory Asset,Other Current Assets,,0.00,Canadian Dollar,,CAD 0.00,OCASSET,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Sales Tax Credit,Other Current Assets,,0.00,Canadian Dollar,,CAD 0.00,OCASSET,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Inventaire Livre,Other Current Assets,15210.0,810.35,Canadian Dollar,Stocks,CAD 810.35,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Emballage,Other Current Assets,15100.0,"3,682.56",Canadian Dollar,Stocks,CAD 3682.56,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
TPS - TVQ à recevoir,Other Current Assets,11500.0,"7,099.35",Canadian Dollar,,CAD -82543.09,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais payés d'avance,Other Current Assets,11350.0,"10,001.88",Canadian Dollar,,CAD 10001.88,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inventaire des fruits,Other Current Assets,15200.0,"1,373,738.76",Canadian Dollar,Stocks,CAD 1373738.76,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total des autres éléments d'actif,Other Assets,19500.0,0.00,Canadian Dollar,,CAD 0.00,OASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Net - Informatique,Other Assets,19110.0,0.00,Canadian Dollar,,CAD 0.00,OASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Autres éléments d'actif,Other Assets,19000.0,0.00,Canadian Dollar,,CAD 0.00,OASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total du passif à long terme,Long Term Liabilities,27000.0,0.00,Canadian Dollar,,CAD 0.00,LTLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Billet à payer Gestion TBS Inc.,Long Term Liabilities,26805.0,0.00,Canadian Dollar,,CAD 0.00,LTLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Prêt d'urgence,Long Term Liabilities,26250.0,0.00,Canadian Dollar,,CAD 0.00,LTLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Emprunts bancaires,Long Term Liabilities,26200.0,0.00,Canadian Dollar,,CAD 0.00,LTLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Passif à long terme,Long Term Liabilities,26000.0,0.00,Canadian Dollar,,CAD 0.00,LTLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Prêts des actionnaires,Long Term Liabilities,26800.0,0.11,Canadian Dollar,,CAD 0.11,LTLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total - Autre produit,Income,42500.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Subvention Finances Québec,Income,42210.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Revenus subvention fédéral 75%,Income,42206.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Revenus subvention fédéral 10%,Income,42205.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Revenus d'assurances,Income,42200.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Revenu d'intérêts CPG,Income,42100.0,0.00,United States Dollar,,USD 0.00,INC,12/06/2021,USD 0.00,12/06/2021,0.00,USD 0.00
Autre produit,Income,42000.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total des revenus,Income,41000.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Escompte sur ventes,Income,40900.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Remise pour livraison Burnac Gamble,Income,40850.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Pertes sur ventes,Income,40800.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Ventes,Income,40200.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Ventes Emballage,Income,40100.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Revenus,Income,40000.0,0.00,Canadian Dollar,,CAD 0.00,INC,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Services,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Sales Discount,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Vendors Discounts,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Inventory Income,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Opening Balance Income,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Insurance Income,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Sales Tax Preparation Income,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Agent Liquidation Income,Income,,0.00,Canadian Dollar,,CAD 0.00,INC,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Amortissement cumule - Informatique,Fixed Assets,19105.0,"-26,854.00",Canadian Dollar,,CAD -26854.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amort. cum. - Présentoir bananes,Fixed Assets,18250.0,"-17,955.04",Canadian Dollar,,CAD -17955.04,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amort.cu. - Equipement,Fixed Assets,18310.0,"-4,826.00",Canadian Dollar,,CAD -4826.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total des immobilisations,Fixed Assets,18900.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Terrain,Fixed Assets,18800.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Net - Bâtiment,Fixed Assets,18700.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amortissement cumulé - Bâtiment,Fixed Assets,18650.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Bâtiment,Fixed Assets,18600.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Net - Véhicule,Fixed Assets,18500.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amortissement cumulé - Enseigne,Fixed Assets,18450.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Enseigne,Fixed Assets,18400.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Net - Equipement,Fixed Assets,18315.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Net - Matériel/mobilier/install.,Fixed Assets,18300.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Améliorations locatives,Fixed Assets,18100.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Immobilisations,Fixed Assets,17000.0,0.00,Canadian Dollar,,CAD 0.00,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Equipement,Fixed Assets,18305.0,"6,128.01",Canadian Dollar,,CAD 6128.01,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Présentoire sur pied pour bananes,Fixed Assets,18200.0,"21,783.92",Canadian Dollar,,CAD 21783.92,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Logiciel ordinateur,Fixed Assets,19100.0,"49,937.63",Canadian Dollar,,CAD 49937.63,FIXASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Taxes et permis,Expense,59876.0,0.00,Canadian Dollar,"Licences, permis et adhésions",CAD 0.00,EXP,04/27/2022,CAD 0.00,04/27/2022,0.00,CAD 0.00
Gains/Pertes Firma,Expense,59520.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Gains/Pertes sur transferts,Expense,59515.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total amortissements et impôts,Expense,59480.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôts de l'exercice,Expense,59475.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôts exigibles,Expense,59470.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt fédéral de l'exercice,Expense,59465.0,0.00,Canadian Dollar,Impôts de l'exercice,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt provincial de l'exercice,Expense,59460.0,0.00,Canadian Dollar,Impôts de l'exercice,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Recette subvention gouvernement,Expense,59455.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amortissement de l'exercice,Expense,59450.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amortissements et impôts,Expense,59400.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total frais bancaires,Expense,59395.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts et pénalités sur impôt,Expense,59375.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts dette à long terme,Expense,59350.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Perte sur disposition d'actifs,Expense,59330.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de carte de crédit,Expense,59325.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais square,Expense,59320.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de Service Firma,Expense,59305.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais bancaires,Expense,59300.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts marge de crédit usd,Expense,59280.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,03/22/2023,CAD 0.00,03/22/2023,0.00,CAD 0.00
Intérêts marge de crédit,Expense,59275.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais marge crédit,Expense,59250.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts Responsabilités financières courantes,Expense,59200.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,06/22/2022,CAD 0.00,06/22/2022,0.00,CAD 0.00
Total frais généraux administration,Expense,59190.0,0.00,Canadian Dollar,Salaires et charges sociales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
