"Status","Number","Release Date","Released to","Pieces","Weight (lb)","Volume (ft³)","Creation Date","Issued By","Income (CAD)","Expense (CAD)","Balance (CAD)","Transactions Balance (CAD)","Division","Exclude From Tracking","Volume weight (Vlb)","Employee","PRO Number","Tracking Number","Driver's Name","Driver's License Number","Notes","Is Liquidated","Carrier","Delivery Date","POD Received By","POD Comments","Entry Number","G.O. Number","C.F.S. Number","Commodities Description","Issued By Address","Release to Address","Has Transactions","Purchase Order Number","Attachments","Online","Billing Client","Template Name","Online Creator","VIN","Is Printed","Last Event","Task Type","Task Employee","Task Status","Task Subject","Task Notes","Purchase Order","Delivery date","Lot Number","Container#"
"Loaded","4575BCH","01/10/2025","Sobeys BCH","720","28,794.14","1,525.59","01/09/2025","Equifruit, Inc.","24,754.78","0.00","24,754.78","0.00",,"No","15,880.88","Claudia Ramirez",,,,,,"No","Savoie",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","No",,"No","No","Sobeys BCH",,,,"No",,,,,,,"4567010098",,,"BEAU9710377"
"Loaded","4575","01/10/2025","Sobeys Quebec City","240","9,598.05","508.53","01/09/2025","Equifruit, Inc.","8,251.59","0.00","8,251.59","0.00",,"No","5,293.63","Claudia Ramirez",,,,,,"No","Savoie",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","No",,"No","No","Sobeys Quebec City",,,,"No",,,,,,,"4567010205",,,"BEAU9710377"
"Loaded","4572","01/10/2025","Krown Produce  Fresh At Its Best™","1","3,747.86","2,359.59","01/09/2025","Equifruit, Inc.","32,632.96","0.00","32,632.96","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador","No","CTX",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","No",,"No","No","Krown Produce  Fresh At Its Best™",,,,"No",,,,,,,"AL1704",,,"CAAU4105992"
"Loaded","4564","01/10/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/09/2025","Equifruit, Inc.","34,790.29","0.00","34,790.29","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Mexico","No","TQL",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250239",,,
"Loaded","4528","01/09/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/07/2025","Equifruit, Inc.","34,573.45","0.00","34,573.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250238",,,
"Loaded","4526","01/09/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/07/2025","Equifruit, Inc.","34,573.45","0.00","34,573.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250235",,,
"Loaded","4500","01/08/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/07/2025","Equifruit, Inc.","33,558.34","0.00","33,558.34","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Peru
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250234",,,
"Loaded","4527S","01/08/2025","Sprouts Farmers Market - Distribution Centers","48","0.00","0.00","01/08/2025","Equifruit, Inc.","0.00","0.00","0.00","0.00",,"No","0.00","Claudia Ramirez",,,,,,"No","TQL",,,,,,,"Banano Cavendish Organico Fairtrade con Banda SPTS","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5445 West Missouri Ave, Glendale, AZ 85301. United States","No",,"No","No","Sprouts Farmers Market - Distribution Centers",,,,"No",,,,,,,"0980162917",,,
"Loaded","4545","01/08/2025","Courchesne Larose","1","3,747.86","2,359.59","01/07/2025","Equifruit, Inc.","34,573.45","0.00","34,573.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No",,,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"No",,,,,,,"5741231060",,,
"Loaded","4489","01/08/2025","Top Banana","1","3,747.86","2,359.59","01/07/2025","Equifruit, Inc.","32,700.78","0.00","32,700.78","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No",,,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","415 NYC Terminal Market, Bronx, NY 10474. United States","No",,"No","No","Top Banana",,,,"No",,,,,,,"010825",,,"MNBU4256972"
"Loaded","4530BCH","01/07/2025","Sobeys BCH","720","28,794.14","1,525.59","01/07/2025","Equifruit, Inc.","24,600.49","0.00","24,600.49","0.00",,"No","15,880.88","Claudia Ramirez",,,,,,"No","Connors",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","No",,"No","No","Sobeys BCH",,,,"No",,,,,,,"4567010096",,,"SEGU9819945"
"Loaded","4530QC","01/07/2025","Sobeys Quebec City","240","9,598.05","508.53","01/07/2025","Equifruit, Inc.","8,200.16","0.00","8,200.16","0.00",,"No","5,293.63","Claudia Ramirez",,,,,,"No","Connors",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","No",,"No","No","Sobeys Quebec City",,,,"No",,,,,,,"4567010203",,,"SEGU9819945"
"Loaded","4542","01/06/2025","Krown Produce  Fresh At Its Best™","1","3,747.86","2,359.59","01/03/2025","Equifruit, Inc.","32,689.45","0.00","32,689.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,,"No","CTX",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","No",,"No","No","Krown Produce  Fresh At Its Best™",,,,"No",,,,,,,,,,
"Loaded","3990","01/06/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/03/2025","Equifruit, Inc.","34,850.52","0.00","34,850.52","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250233",,,
"Loaded","4506","01/06/2025","Courchesne Larose","1","3,747.86","2,359.59","01/03/2025","Equifruit, Inc.","34,850.52","0.00","34,850.52","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","JE FORTIN",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"No",,,,,,,"5741223246",,,
"Loaded","4502","01/06/2025","Courchesne Larose","1","3,747.86","2,359.59","01/03/2025","Equifruit, Inc.","35,646.39","0.00","35,646.39","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Colombia
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"No",,,,,,,"2482457",,,"SEKU9273041"
"Loaded","4505","01/05/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/03/2025","Equifruit, Inc.","34,850.52","0.00","34,850.52","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250232",,,
"Loaded","4510","01/04/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/23/2024","Equifruit, Inc.","34,754.15","0.00","34,754.15","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250114","01/04/2025",,"SEGU9077173"
"Loaded","4517","01/04/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/23/2024","Equifruit, Inc.","34,754.15","0.00","34,754.15","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250116","01/04/2025",,"SEGU9065275"
"Delivered","4563","01/03/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/02/2025","Equifruit, Inc.","34,790.29","0.00","34,790.29","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Mexico","No","Megacorp",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250113",,,
"Loaded","4498","01/03/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/02/2025","Equifruit, Inc.","34,850.52","0.00","34,850.52","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250112",,,
"Loaded","4511","01/03/2025","Charlies Seattle","1","3,747.86","2,359.59","01/02/2025","Equifruit, Inc.","29,182.27","0.00","29,182.27","0.00",,"No","24,562.48","Claudia Ramirez",,,,,,"No","TQL",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","No",,"No","No","Charlies Seattle",,,,"No",,,,,,,"7000378",,,
"Delivered","4541","01/03/2025","Krown Produce  Fresh At Its Best™","1","3,747.86","2,359.59","12/31/2024","Equifruit, Inc.","32,689.45","0.00","32,689.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,,"No","CTX",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","No",,"No","No","Krown Produce  Fresh At Its Best™",,,,"No",,,,,,,"AL1650",,,
"Delivered","4504","01/03/2025","Courchesne Larose","1","3,747.86","2,359.59","01/02/2025","Equifruit, Inc.","34,790.29","0.00","34,790.29","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, 
Trailer # JE3752 QC","No","Transport LFL",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"No",,,,,,,"5741223237",,,
"Delivered","4509","01/02/2025","Top Banana","1","3,747.86","2,359.59","12/31/2024","Equifruit, Inc.","32,962.84","0.00","32,962.84","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No",,,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","415 NYC Terminal Market, Bronx, NY 10474. United States","No",,"No","No","Top Banana",,,,"No",,,,,,,"010225",,,"TEMU9332887"
"Delivered","4474BCH","01/02/2025","Sobeys BCH","672","26,874.53","1,423.89","12/24/2024","Equifruit, Inc.","23,144.46","0.00","23,144.46","0.00",,"No","14,822.15","Claudia Ramirez",,,,,,"No","Connors",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","No",,"No","No","Sobeys BCH",,,,"No",,,,,,,"4566974406",,,"SEGU9521668"
"Delivered","4501BCH","01/02/2025","Sobeys BCH","672","26,874.53","1,423.89","12/30/2024","Equifruit, Inc.","23,144.46","0.00","23,144.46","0.00",,"No","14,822.15","Claudia Ramirez",,,,,,"No","Connors",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","No",,"No","No","Sobeys BCH",,,,"No",,,,,,,"4566983156",,,"SZLU9304368"
"Delivered","4501QC","01/02/2025","Sobeys Quebec City","288","11,517.65","610.24","12/30/2024","Equifruit, Inc.","9,919.06","0.00","9,919.06","0.00",,"No","6,352.35","Claudia Ramirez",,,,,,"No","Connors",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","No",,"No","No","Sobeys Quebec City",,,,"No",,,,,,,"4566983158",,,"SZLU9304368"
"Delivered","4521","01/02/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/31/2024","Equifruit, Inc.","30,841.69","0.00","30,841.69","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250110",,,
"Delivered","4493","01/02/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/31/2024","Equifruit, Inc.","34,573.45","0.00","34,573.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250111",,,
"Delivered","4492","01/02/2025","Courchesne Larose","1","3,747.86","2,359.59","12/31/2024","Equifruit, Inc.","34,573.45","0.00","34,573.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No",,,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"No",,,,,,,"5741223230",,,
"Delivered","4496","01/01/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/31/2024","Equifruit, Inc.","33,827.27","0.00","33,827.27","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250106",,,
"Delivered","4494","01/01/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/31/2024","Equifruit, Inc.","33,230.16","0.00","33,230.16","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250108",,,
"Delivered","4449","01/01/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/19/2024","Equifruit, Inc.","34,850.52","0.00","34,850.52","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250109",,,
"Loaded","4503","12/31/2024","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/30/2024","Equifruit, Inc.","33,827.27","0.00","33,827.27","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Colombia
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250115",,,"SMLU5452422"
"Delivered","4514","12/31/2024","Krown Produce  Fresh At Its Best™","1","3,747.86","2,359.59","12/27/2024","Equifruit, Inc.","32,689.45","0.00","32,689.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,,"No","CTX",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","No",,"No","No","Krown Produce  Fresh At Its Best™",,,,"No",,,,,,,"AL1649",,,
"Delivered","4588","12/31/2024","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/30/2024","Equifruit, Inc.","34,850.52","0.00","34,850.52","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Mexico","No","Megacorp",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250107",,,
"Delivered","4495","12/30/2024","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","12/27/2024","Equifruit, Inc.","30,841.69","0.00","30,841.69","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250102",,,
